Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name,Description,Latitude,Longitude
1 Bdrm Apartments Available May 1st Next to Dalhousie!,2050,"1521 Lemarchant Street, Halifax, NS",2024-02-23T14:34:31.000Z,18 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,690,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Elevator in Building",Professional,,"We have 3 One Bedroom Apartments becoming available at LeMarchant Towers (1521 LeMarchant Street) starting on May 1st!,Note: Pictures in the ad show unit 9B.,The One Bedroom apartments range in price based on updated kitchens, coming furnished or unfurnished and what utilities are included in rent. They start at $2050. All apartments have the same type of layout.,Units Available:
-2G - Unfurnished, wifi & power not included: $2050
-5C - Unfurnished, wifi & power not included: $2150
-9B - Furnished all utilities included: $2395,Building Details:
-Building is called LeMarchant Towers
-Small tenant-exclusive gym in lobby
-24 hour laundry room in building (coin operated machines)
-Secure building with camera on premises
-Buzzer Intercom System
-Packages & mail delivered directly to your door
-Cat Friendly
-AC Units available to rent during summer from Property management company
-Reserved outdoor & indoor (underground garage) parking spots available to rent,Renting Info:
-Building is managed by AR Webber Properties Limited
-Landlord pays for heat, water & hot water (and in unit 9B also pays for power & wifi!)
-Fixed Term 12 month lease
-Security Deposit is half month's rent,If you're interested, please send a message and i'll send you a link to the application form so you can come in for a tour of all 3 units!",44.63938,-63.59108
Northwood Manor's Supportive Living Apartments,1994,"Halifax, NS B3K 3C5",2024-02-23T15:18:52.000Z,18 days ago,Apartment,Bachelor/Studio,1,"Hydro,Heat,Water",,0,Month-to-month,Limited,300,No,,No,,No,Elevator in Building,Professional,,"Northwood’s Supportive Living is a housing option designed for retired people who are not quite managing on their own and need support to maintain independence.
The all-inclusive monthly package includes:
-	heat, hot water, power
-	cable, telephone, internet
-	evening meal each day
-	weekly laundry and weekly housekeeping
-	personal care
-	Intouch Personal Emergency Response Service
-	Case management
-	medication monitoring
Bachelor/Studio unfurnished apartments are in Northwood Manor, 2630 Gottingen Street, Halifax, NS.
RENTAL FEES
Bachelor / Studio: $1,994.00 per month
Call Lynne at (902) 440-2574 for further details or to book a tour.",44.65807,-63.59261
Cunard Court – Lowrise - 1 Bdrm available at 2073-2077 Brunswick,1995,"2077 Brunswick Street, Halifax, NS, B3K 5T8",2024-02-23T17:57:15.000Z,18 days ago,Apartment,1,1,Water,Not Included,0,1 Year,Yes,620,No,"Laundry (In Unit),Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,"Bicycle Parking,Storage Space",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/cunard-apartments-lowrise/,As a resident of Cunard Court (Lowrise) you will have access to the following amenities:, , ,What's included in your rent,Laundry, Water,Have Questions? Contact the Property Manager: 902-407-8845",44.65188,-63.58021
"The Junction - 1 Bedroom, 2 Bathroom, PH Apartment for Rent",2505,"3075 Devonshire Avenue, Halifax, NS, B3K 0H5",2024-02-23T18:00:31.000Z,18 days ago,Apartment,1,2,,Not Included,0,1 Year,Yes,880,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Elevator in Building,Professional,www.hazelviewproperties.com,"Immerse yourself in the historic culture of the Hydrostone Market District at The Junction, a brand new 9-storey apartment community located in downtown Halifax.,Offering spacious 1 and 2 bedroom suites with open-concept layouts, these upscale apartments feature exposed concrete columns, in-suite laundry, and fully-equipped kitchens, all unified in a sleek and modern design. Spend an afternoon out on the podium terrace, or entertain for the evening inside the comfortable and stylish lounge, featuring a kitchen and communal dining area.,We invite you to set your roots in these stunning apartments with breathtaking views, overlooking the downtown Dartmouth skyline, Halifax Habour, and MacDonald Bridge. The pet friendly community puts you steps from some of the city's best cafes, dining, and hangout spots. Whether biking or driving, The Junction sits at a highly accessible location and features a bicycle room and underground car parking for your convenience.",44.66449,-63.59473
"Lease take over!! 1 BED 1 BATH, CONNAUGHT AVENUE",1890,"Connaught Avenue, Halifax, NS",2024-02-23T18:45:34.000Z,18 days ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,Yes,500,No,Laundry (In Unit),No,"Yard,Balcony",No,,Owner,,"Available from March - end of August with the option to renew at the end of the lease,This apartment features a bright beautiful 1 bedroom, 1 bathroom apartment, newly renovated on Connaught Ave. Halifax.,The apartment was fully re-designed to offer great comfort, functionality, and lots of natural light.,The house is located minutes away to all city’s interests: hospitals, universities, Halifax Shopping Center, Quinpool Shopping Area, libraries, fitness centers, downtown, highways and both bridges to Dartmouth.,The apartment features:,• Bright living room with direct access via glass patio door to a 8’x26’ sunny deck with direct access to the fully fenced back yard,• Nice renovated U shape kitchen open concept with dining area,• Large size bedroom (fits king size set) with two windows and walking closet,• New maple and olive hardwood and ceramic flooring,• 6 large appliances: oven/stove; over stove microwave, fridge; dishwasher; washer and dryer,• Fire proof walls, ceilings and doors,• New walls, plumbing, electrical, insulation, doors, electrical & plumbing fixtures, etc.,• Large windows and patio door,• Private large sunny deck (south/west view),• Large treed fenced back yard, like park style,The rent is $1,890/month. The apartment is available from March 1st - August 31st.,Rent includes:,• Heat,• Hot water,• 1 parking spot,• Landscaping,One pet accepted per apartment (cat or small dog) is allowed landlord approval.,*** NO Smoking, Vaping, Cannabis or Party House!,Professional and respectful landlord!,For rental information please text 204-871-2719,Thank you for your interest in our apartment!",44.65301,-63.61637
"1 bed+1 den, 1 beth for Friends or couple (furnitured)",1850,"769 Bower Rd, Halifax, NS B3H 4N3",2024-02-23T21:34:47.000Z,18 days ago,Basement,2,1,"Hydro,Heat,Water",Not Included,1,1 Year,No,750,Yes,Fridge / Freezer,No,,No,,Owner,,"This place is ideal for two students or couple near SMU and DAL in South end.
We provide furniture and various amenities for comfortable living in a convenient location with easy access to transportation and all facilities nearby. Friends or couples are welcome.
It is include heat, hot water, electric / not include wash&dry.
No smoking, No pet. Limited 2 people.,Please send me text 902-402-2058.
Thank you!",44.62891,-63.57779
"Bently - 1 Bedroom, 1 Bathroom Apartment for Rent",1995,"15 Bently Drive, Halifax, NS, B2S 0G2",2024-02-23T21:42:01.000Z,18 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,24 Hour Security,Storage Space,Elevator in Building",Professional,www.hazelviewproperties.com,"Welcome to Bently, a rental community situated in a quiet, park-like setting in lively Clayton Park West. Are you looking for a well-rounded life without compromise? You've found your spot. It's conveniently located just a few minutes away from schools and the retail and recreation hub of Bayer's Lake Business Park where you'll find Costco, Canadian Tire, Staples, Walmart, Atlantic Superstore and much more. Stocking up on everyday essentials couldn't be easier. You'll love being close to Scotiabank Theatres, Chapters and a mini-golf course. A go-kart track is located nearby as well. If full-size golf is more your speed, Fairview Hills Golf Centre is just across the street from Bently. You can walk to the woodland hiking trails and off-leash dog park at Halifax Mainland Common, with more nature trails at Greenpark Close. All this is at your doorstep with downtown Halifax less than 15 minutes away.,You and your family will love the spacious, open-concept living and premium amenities of Bently. Your luxury rental apartment features in-suite laundry and a designer kitchen with granite counters and stainless steel appliances. Keep fit in the gym and entertain in the party room. This pet-friendly home features on-site professional management for worry-free living.,You deserve to have it all. It's all waiting for you at Bently (15 Bently Drive).",44.64895,-63.65723
Clayton Park - Two Bedroom - **Sorry Rented**,2095,"Halifax, NS B3S 1P4",2024-02-13T12:03:50.000Z,29 days ago,Apartment,2,2,"Heat,Water",Not Included,1,1 Year,No,"1,350",No,Laundry (In Unit),No,Balcony,Yes,"24 Hour Security,Storage Space,Elevator in Building",Owner,,"**Sorry Rented**,StrataVista Suites - 169 Regency Park Drive $2095.00,Spacious corner unit on the second floor in park like setting located off Lacewood Drive/Regency Park Drive. Heat and hot water with parking included. Five appliances. Master bedroom has very large walk in closet and ensuite. Two full baths. Large balcony. Extra large laundry room with a large separate 6x8 storage/pantry.,Sorry no dogs.,Please call Paula between 9-6pm to book a viewing appointment at 902 802 1003.,Thanks!,All potential tenants are required to complete application for credit check. Allow 2-5 days for processing all applications.,• Clean and secure building with super on call 24/7,• Apartment near Sobey’s, Shoppers Drug Mart, and Bayer’s Lake, Hair Design Centre School of Cosmetology,• Near Lacewood bus terminal,• Ideal for seniors,• Spacious storage in unit, 5 appliances,• Steps away from walking paths, library and Canada Games Centre,For more information and to set up a viewing appointment please call Paula at 902 802 1003 Monday- Friday between 9am-6pm,Sorry, no dogs allowed.,Apartments in Clayton Park, rentals in Clayton Park, apartments for rent in Clayton Park, 2 bedroom apartments in Halifax, 3 bedroom rentals in Halifax, large apartments in Halifax, apartments near Bayer’s Lake, apartments near bus route, apartments near MSVU, best apartments in Clayton Park,**units may not be exactly as shown in pictures.",44.65529,-63.66739
1 Bed 1 Bath Apartment in South End,2200,"Seymour Street, Halifax, NS",2024-02-13T18:23:47.000Z,28 days ago,Condo,1,1,"Hydro,Heat,Water",,0,Month-to-month,Limited,564,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Gym,Owner,,"Looking to sublet my private 1 bedroom apartment from May through August (or May-July). Walking distance to Dalhousie, and close to bus routes across Halifax. All included.",44.6389,-63.58989
A bachelor apartment ,1530,"5885 Cunard St, Halifax, NS B3K 1E3",2024-02-13T21:01:50.000Z,28 days ago,Apartment,Bachelor/Studio,1,,Not Included,1,Month-to-month,Limited,1,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,Outdoors only,"Gym,Pool,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,,"A bachelor apartment available in halifax downtown for 1530$ per month 80$ extra for underground car parking. Heat and water included in the rent. 4 mints drive from superstore, drug stores and 2 mint walk from bus stop. Beautiful view in balcony of halifax common. Gym and swimming pool in the building on main floor. Halifax common for skating and cycling is just front of the apartment.Pictures will be available on request ",44.65133,-63.5915
1 bedroom 1 bath apartment for rent,1728,"Supreme Court, Halifax, NS",2024-02-14T14:04:34.000Z,27 days ago,Apartment,1,1,"Heat,Water",,1,Month-to-month,No,680,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,"Bicycle Parking,Storage Space,Elevator in Building",Owner,,"Looking to do a month to month and possible lease takeover for March 1st for my one bedroom apartment in the Boss Plaza 3.,Apartment details:
1728.90/month – includes heat, water, heat pump/ac, wi-fi, laundry in unit, underground parking, spacious private balcony, 10 foot tall ceilings, cement walls (sound proof), 6 new appliances. Cat friendly, but no dogs. Please message me if interested and we can schedule a viewing . Thank you.",44.65835,-63.63293
Palace Royale - 2 Bedroom Apartment for Rent,2450,"333 Main Avenue, Halifax, NS, B3S 0B6",2024-02-14T14:12:00.000Z,27 days ago,Apartment,2,2,Heat,Not Included,0,1 Year,Limited,Not Available,No,Laundry (In Unit),No,,No,Elevator in Building,Professional,www.templetonproperties.ca,"Welcome to Palace Royale, a stunning mid-rise apartment property located in the vibrant city of Halifax, Nova Scotia. With its prime location just a 5-minute drive from the bustling Bayers Lake Shopping District and public transit options nearby, this property is a dream come true for young families, retirees, and couples alike. At Palace Royale, we understand the needs of young families, and that's why we provide an array of amenities to make your life easier. With indoor and outdoor parking available, you won't have to worry about finding a spot for your vehicle. Our elevators make it easy for families with strollers or elderly residents to move around effortlessly.,Our dedicated on-site staff is always ready to assist you with any concerns or inquiries you may have, ensuring a seamless living experience. For retirees looking to enjoy their golden years in comfort, Palace Royale offers a serene and peaceful atmosphere. Our social room provides a perfect space for socializing and connecting with fellow residents. Whether you want to host a card game or simply have a cup of coffee with friends, this space is truly a gem. Stay active and maintain a healthy lifestyle in our fully-equipped fitness room, where you can keep up with your exercise routine without having to leave the building.,Couples will find Palace Royale to be an ideal place to call home. The beautiful building boasts a modern design, with attention to detail and aesthetics. Step into your stylish and spacious apartment and experience the perfect balance of comfort and luxury. Whether you're unwinding on your private balcony or enjoying the breathtaking views from your living room, you'll truly feel at ease in your new home. Don't miss out on the opportunity to be a part of the Palace Royale community. Contact us today to schedule a tour and discover the perfect apartment that suits your lifestyle. ,Welcome to Palace Royale, a stunning mid-rise apartment property located in the vibrant city of Halifax, Nova Scotia. With its prime location just a 5-minute drive from the bustling Bayers Lake Shopping District and public transit options nearby, this property is a dream come true for young families, retirees, and couples alike. At Palace Royale, we understand the needs of young families, and that's why we provide an array of amenities to make your life easier. With indoor and outdoor parking available, you won't have to worry about finding a spot for your vehicle. Our elevators make it easy for families with strollers or elderly residents to move around effortlessly.,Our dedicated on-site staff is always ready to assist you with any concerns or inquiries you may have, ensuring a seamless living experience. For retirees looking to enjoy their golden years in comfort, Palace Royale offers a serene and peaceful atmosphere. Our social room provides a perfect space for socializing and connecting with fellow residents. Whether you want to host a card game or simply have a cup of coffee with friends, this space is truly a gem. Stay active and maintain a healthy lifestyle in our fully-equipped fitness room, where you can keep up with your exercise routine without having to leave the building.,Couples will find Palace Royale to be an ideal place to call home. The beautiful building boasts a modern design, with attention to detail and aesthetics. Step into your stylish and spacious apartment and experience the perfect balance of comfort and luxury. Whether you're unwinding on your private balcony or enjoying the breathtaking views from your living room, you'll truly feel at ease in your new home. Don't miss out on the opportunity to be a part of the Palace Royale community. Contact us today to schedule a tour and discover the perfect apartment that suits your lifestyle.,Welcome to Palace Royale, a stunning mid-rise apartment property located in the vibrant city of Halifax, Nova Scotia. With its prime location just a 5-minute drive from the bustling Bayers Lake Shopping District and public transit options nearby, this property is a dream come true for young families, retirees, and couples alike. At Palace Royale, we understand the needs of young families, and that's why we provide an array of amenities to make your life easier. With indoor and outdoor parking available, you won't have to worry about finding a spot for your vehicle. Our elevators make it easy for families with strollers or elderly residents to move around effortlessly.,Our dedicated on-site staff is always ready to assist you with any concerns or inquiries you may have, ensuring a seamless living experience. For retirees looking to enjoy their golden years in comfort, Palace Royale offers a serene and peaceful atmosphere. Our social room provides a perfect space for socializing and connecting with fellow residents. Whether you want to host a card game or simply have a cup of coffee with friends, this space is truly a gem. Stay active and maintain a healthy lifestyle in our fully-equipped fitness room, where you can keep up with your exercise routine without having to leave the building.,Couples will find Palace Royale to be an ideal place to call home. The beautiful building boasts a modern design, with attention to detail and aesthetics. Step into your stylish and spacious apartment and experience the perfect balance of comfort and luxury. Whether you're unwinding on your private balcony or enjoying the breathtaking views from your living room, you'll truly feel at ease in your new home. Don't miss out on the opportunity to be a part of the Palace Royale community. Contact us today to schedule a tour and discover the perfect apartment that suits your lifestyle.,Located in Clayton Park, only a 5 minute walk from major bus routes, and close to all of Bayers Lake Business Park shops, and minutes away from Downtown Halifax by car.",44.65147,-63.65379
One Bedroom Suite with Balcony Available March 1st in Halifax,1750,"Halifax, NS B3L 2H7",2024-02-14T16:01:12.000Z,27 days ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,No,"1,100",No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"24 Hour Security,Elevator in Building",Professional,,"Located on Mumford Road in the West End of Halifax, this quiet, mature building offers peaceful living with lots of shopping close by. Tenants can take full advantage of all the amenities offered by the neighboring Mumford Professional Center, West End Mall, Halifax Shopping Centre and surrounding retail complexes. With the Mumford road bus terminal and Armdale Rotary close by, you can commute throughout the city with ease.,One bedroom suite with balcony available March 1st $1750.00/month.,Rent includes: Heat, hot water, parking, balcony, 4 appliances (fridge, stove, dishwasher, and microwave and in unit), live-in resident manager, one parking spot, elevator and security entrance.,This is a smoke free unit.
Cats allowed are, no dogs.,For information please call the superintendent Donna 902-445-0749.,*Please note pictures may not be of exact unit.",44.64725,-63.61801
APARTMENT FOR SUBLET,1200,"5651 Ogilvie St, Halifax, B3H 1B9",2024-02-14T17:18:04.000Z,27 days ago,Apartment,2,1,"Hydro,Heat,Water",,0,1 Year,Yes,672,Yes,"Laundry (In Building),Fridge / Freezer",No,,Outdoors only,Elevator in Building,Owner,,"LOOKING FOR A FEMALE ROOMMATE
JULY'24
Need a roommate from July for sublet.
$500 is required for security deposit.
It is a private semi-furnished bedroom in a 2 bedroom apartment located near Point pleasant park with the view of the ocean.
Rent: $1200/month
Includes: heat, hot water, power and wifi.
Parking is additional if needed.
Walking distance to SMU campus, Point pleasant park, Atlantic Superstore and bus stops 4, 29, 10, 24.
Cat - friendly
Looking for someone who is extremely clean and tidy.
Preferred if the person is a working professional.
Contact 7826410647 for more information or viewing.
",44.62897,-63.57104
"2 bed + den at luxurious Blu, West Bedford, March 1",2695,"1000 Larry Uteck Blvd, Bedford, NS",2024-02-14T17:40:56.000Z,27 days ago,Apartment,2 + Den,2,"Heat,Water",Not Included,1,1 Year,No,"1,671",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Storage Space,Elevator in Building",Owner,,"Your opportunity to join the community at Luxor Blu, located at 1000 Larry Uteck Blvd. is here.,Available March 1, 2024, we have a gorgeous 2 bedroom plus den corner unit for lease. The suite is fully air-conditioned and is located on the fifth floor .,This unit is exquisitely furnished, with waterfall countertops, Samsung stainless steel appliances, including a slide-in convection oven - a true chef’s delight. Also included are a fridge, stove, dishwasher, microwave, washer and dryer.,Rent includes heat and hot water, as well as one parking space in the underground parking garage - complete with a private storage locker.,--------------------
About Luxor Blu:
Luxor Blu, aka Blu, is a boutique luxury residence overlooking the serenity of the beautiful Kearney Lake. Your first impression upon entering is the lavish grand lobby, highlighted with a customized light sculpture, making you feel refined by luxury. You will feel like you’ve been welcomed home!,Amenities in the building are impeccable and include the following:
2 high speed elevators
A fully equipped Fitness Centre
A gorgeous Entertainment Lounge with fully equipped kitchen.,To book a showing, please contact Wayne at 902-880-3593 or email blu@luxorblu.ca,Please note: Blu is a NON-SMOKING RESIDENCE and we DO NOT allow dogs.",44.69907,-63.6975
Studio apartment with den available for $1400/month,1400,"Lakefront Road, Dartmouth, NS",2024-02-15T03:55:05.000Z,27 days ago,Apartment,1 + Den,1,"Hydro,Heat,Water",Not Included,1,Month-to-month,No,800,Yes,"Laundry (In Unit),Fridge / Freezer",No,Yard,Outdoors only,,Owner,,"Studio apartment with den available for 2 persons only $1400/m excluding utilities.,Maximum for two (2) persons only.
Location is at Cranberry Crescent off Mount Edward Road, Dartmouth.,Bus route available. 6 mins drive to Portland Street and 3 mins drive to Main Street.,This property is fully furnished except bedding.
",44.67108,-63.5507
"MARCH 1st, Studio Downtown Halifax, Lease transfer",1750,"Tobin Street, Halifax, NS",2024-02-15T17:25:50.000Z,26 days ago,Apartment,Bachelor/Studio,1,"Hydro,Heat,Water",Not Included,1,1 Year,No,450,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,Outdoors only,"Storage Space,Elevator in Building",Owner,,"Spacious, clean and quiet studio in heart of downtown Halifax (5252 Tobin street). super close to Atlantic superstore, Sobeys and shoppers(2 mins walk), two entrances(backdoor to Kent street and front door to Tobin street), very close to bus routes (7A, 7B, 29). Has its private balcony, two big closets, heating and hot water and electricity are included on monthly rent. Parking is available for an additional fee of 150$ per month. No pets are allowed. The unit is located on 6th floor, elevator and stairwells are available in the building. Laundry is in the building, central garbage chute available on the floor. Fridge, stove and dishwasher are the kitchen appliances. The unit is available from MARCH 1st and the lease is valid until September 1st with the possibility of renewal. The monthly rent for this unit is 1750$(without parking). Please contact me or send a message to book a visit if you are interested.
Tel: 647-832-3660",44.63883,-63.57149
For rent,1875,"3150 Barrington St, Halifax, NS B3K 0C6",2024-02-15T17:38:31.000Z,26 days ago,Apartment,1 + Den,1,,Not Included,0,1 Year,Limited,741,No,,No,,Outdoors only,,Owner,,"Spacious 1 bedroom plus den for rent .
Heat,water,hot water. Also 5 appliances including in suite laundry.
Quiet building
No smoking
",44.66564,-63.59606
WELCOME TO THE UPSIDE - ONE BEDROOM APARTMENT AVAILABLE,1800,"17 Prince Street, Dartmouth, NS, B2Y 4W2",2024-02-16T12:42:00.000Z,26 days ago,Apartment,1,1,,Not Included,0,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Elevator in Building,Professional,www.upmi.ca,,44.66432,-63.56748
Cunard Court – Lowrise - 2 Bdrm available at 2073-2077 Brunswick,2295,"2077 Brunswick Street, Halifax, NS, B3K 5T8",2024-02-17T00:06:58.000Z,25 days ago,Apartment,2,1,Water,Not Included,0,1 Year,Yes,850,No,"Laundry (In Unit),Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,"Bicycle Parking,Storage Space",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/cunard-apartments-lowrise/,As a resident of Cunard Court (Lowrise) you will have access to the following amenities:, , ,What's included in your rent,Laundry, Water,Have Questions? Contact the Property Manager: 902-407-8845",44.65188,-63.58021
2 BEDROOM NON SMOKING APARTMENT PET FRIENDLY,1795,"Halifax, NS B3R 1R3",2024-02-17T10:05:57.000Z,25 days ago,Apartment,2,1,"Heat,Water",Not Included,1,1 Year,Limited,850,No,"Laundry (In Building),Fridge / Freezer",No,,No,,Owner,,"2 BEDROOM $1795
Available APRIL 1 2024
Please Reply with description of your situation and job situation, I cannot reply to you without this
Tenant Insurance Required
Large SUNNY 2 Bedroom NON SMOKING apartment with two entrances Safe Secure Great Location, ridiculously quiet, good neighbors, no druggies, no drama
Ground floor easy access, laminate flooring, no carpet,
Coin laundry
Rent is $1795 Includes heat , hot water and ONE parking spot
Near Library Exercise Complex and Wave Pool Walk to Mall, Mikes No Frills, Medical Clinic,
Bus Stop outside Easy access to Downtown Halifax ( 10 min) , or Dartmouth
Bus Routes 24 A and B, for Dal, one transfer, direct to St Marys if walk down to mall
Cats ok Dogs? Depends on the animal Lets talk
Probationary period for all tenants References will be thoroughly checked,The apt is available April 1 2023
If interested , please reply w number of people, approx ages, smoker/non smoker, number of cars( only one spot available) pets and type, source of income. It is a ground floor unit. The apartment is roomy , safe and quiet
Bus stop outside. Its a safe, quiet , 6 unit building, mature people, no problem tenants.",44.61201,-63.62269
2 bed 2 bath Apartment ,2945,"5548 Kaye St, Halifax, NS B3K 1Y5",2024-02-17T16:22:22.000Z,24 days ago,Apartment,2,2,,Not Included,1,1 Year,Yes,500,No,Laundry (In Unit),Yes,Balcony,Outdoors only,"24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,,"PLEASE READ BEFORE MESSAGING; SERIOUS INQUIRIES ONLY!
Looking to do a lease takeover for April 1st for a 2-bedroom 2-bathroom apartment in THE ANTHONY, 5548 Kaye St., Halifax
IMPORTANT:
1. We are just the tenant looking for applicants to be approved by the landlord/management.
2. NO negotiations as the management will be the one who will decide.
Apartment details: 2,945.00/month comes with underground parking
Includes heat, water, ductless heat pump/ac, laundry in unit, 1 underground parking space, and storage. UNFURNISHED
Corner unit with 2 large balcony, good neighbour’s, cement walls(sound proof), all appliances (Fridge, stove, microwave, dishwasher, washer, and dryer)
Walking distance to Young Street Plaza with Atlantic Superstore - Dollarama…, Tim Hortons, Esso, Burger King and the best Starbucks & Flyns are just on the corner of the building exit.
Cat friendly. No dogs.
Application requirements:
1. Must be employed with requirements of recent paystubs
2. Must be making a sufficient amount of income to guarantee you will be able to pay rent monthly
3. Good credit history
If you are interested, please send me your information so I can help with a link to apply.
Once sent, please provide the following information back to me so I stay in touch to my landlord for the application review.
",44.66162,-63.59922
"137,145,and 149 Walker Avenue- 1-3 BEDROOM APARTMENTS AVAILABLE",1250,"137, 145, and 149 Walker Avenue, Lower Sackville, NS, B4C 4C2",2024-02-18T00:34:09.000Z,24 days ago,Apartment,2,1,,Not Included,0,1 Year,Limited,Not Available,No,Dishwasher,No,Balcony,Outdoors only,,Professional,www.westburyrentals.com,"Welcome to 137, 145, and 149 Walker Avenue!,This suburban location is in close proximity to the highway and Downtown Halifax.,Enjoy our newly renovated lobby and suites. With 24/7 On-site management, this location is an excellent choice for anyone looking to rent. To view a specific unit please call to schedule a tour!,2 Bedroom suites available,Completely renovated suites,Hardwood floors & Ceramic Floors,Walk-in closets,24 hr. on-site staff,Attractive, secure and clean building,Storage lockers,In building laundry.,Bike paths,Parks,Westbury Rental Residences",44.76478,-63.69192
Room for rent,,"Spencer Ave, Halifax, NS B3R","January 25, 2024 3:10 AM",over a month ago,Apartment,1,1,,Not Included,1,Month-to-month,No,500,Yes,,Yes,,Yes,,Owner,,One room in two bedroom,44.61608,-63.62011
1 bedroom dog friendly Fletchers lake ,1850,"3719 NS-2, Fletchers Lake, NS B2T 1J3","January 26, 2024 3:16 PM",over a month ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,Yes,745,No,Laundry (In Building),No,Balcony,Outdoors only,Bicycle Parking,Owner,,"Large 1 bedroom small and medium dog friendly $1850
1 bedroom apartment
1 kitchen
1 living room
1 bedroom
1 bathroom
1 balcony
Right on the lake second floor ( top)
Heat, hot water included
Laundry room on site. New machines with Ap reload.,Please cal or text April for viewing and application: +1 (782) 640-9079",44.83471,-63.61001
Summer-time Rental 1 bedroom unit sublet,1900,"5510 Falkland St, Halifax, NS B3K 1A3","January 27, 2024 2:01 PM",over a month ago,Apartment,1,1,"Heat,Water",,0,Month-to-month,Limited,550,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,"Bicycle Parking,Elevator in Building",Owner,,"The unit includes; 1 kitchen, 1 bathroom, 1 laundry room (in unit), 1 storage room (in unit), 1 bedroom(+window), and 1 living room(+window). 7 stainless steel appliances are also included in unit (Dishwasher, fridge, washing machine, drying machine, oven, microwave, stove) and furnitures; Bed-sofa, shelf unit, queen size bed, a nightstand, and a coffee table basically every furniture and appliances that can be seen in photos are included. The rest, I'll clear out before I move out so you can have maximum capacity. Only the ones with the card can enter the building and use the elevator or stairs since there are 3 doors with card readers and there are cameras everywhere which makes it quite safe, on first floor there is a room for bicycles again also requires chip card to access.
Heat and water is included the price you'll just need to pay for power which is approximately 100-150$ once in every 2 months. I'm open for a slight negotiation with the price
There are some rules to show respect the other tenants. non-smoking, couple occupant max, not all pets are approved pending size and breed, 1 pet friendly maximum. There is also a required security deposit (1/2 of a months rent).
I'm only subletting for summer-time (May 1st to August 1st) and I have been keeping the unit very tidy and clean. I have been staying in this unit for the last 4 months and I can assure that it is a nice, safe, sun-warming unit and close to downtown/waterfront which is beautiful in the summer. I would be glad to answer any questions Email address: ogehanoge@gmail.com or text here.
",44.6513,-63.58271
4 Bedroom House Bedford,3000,"Bedford, NS B4A 1E4","January 27, 2024 3:23 PM",over a month ago,Apartment,4,2,Water,Not Included,3+,1 Year,Limited,"2,000",No,"Laundry (In Unit),Fridge / Freezer",Yes,Yard,No,,Owner,,Four Bedroom house located in Bedford. Large living room and dining room as well as rec room in the lower level. Close to bus routes and walking distance to Bedford Place Mall and Superstore.,44.73181,-63.65889
Apartment Rental,1600,"Agricola St, Halifax, B3K 4C7","January 28, 2024 4:26 AM",over a month ago,Apartment,2,1,,Not Included,1,1 Year,Yes,600,No,,No,,No,,Owner,,"Looking for a two bedroom apartment to rent from July or August with either a renewable lease or indefinitely leasing in the Halifax or Dartmouth area, preferably around Saint Mary’s University or NSCC, for around $1300-$1600 a month + utilities, or if all utilities are included $1700.
In the apartment will be living me and another friend, both starting university in early September and would need to be moved in and settled beforehand, as we need to be closer to school. Visitors are preferred to be allowed, as we both have families who would want to see us.
Please reach out and I will try to get back to you as soon as possible.",44.65698,-63.5952
