Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name,Description,Latitude,Longitude,extraction_date
Available April 1 - Two Bedroom Apartment in Dartmouth,1795,"Dartmouth, NS B2X 2X4",2024-03-06T20:41:12.000Z,13 days ago,Apartment,2,1,"Heat,Water",Not Included,0,1 Year,Limited,700,No,"Laundry (In Building),Fridge / Freezer",No,,Outdoors only,,Professional,,"Available April 1st - Two Bedroom Apartment in Dartmouth,Newly renovated unit in Main Street district of Dartmouth near all amenities and along major transit routes available April 1st.,Message us to arrange a viewing today before its gone!,Rent is $1,795.00 monthly
Includes: Heat, Water, Hot Water,- Cat friendly
*Tenant pays for power
**Parking is extra at $50 monthly (if available)
***12 Month Fixed Term Lease",44.68329,-63.54435,2024-03-19
Seeking Affordable 1-Bedroom Apartment near Dartmouth ,,"Dartmouth Rd, Bedford, NS B4A",2024-03-06T20:47:23.000Z,13 days ago,Apartment,1,1,,Not Included,2,1 Year,No,11,No,,Yes,,No,,Owner,,"Looking for a 1-bedroom apartment to rent near Dartmouth. Not interested in shared accommodations or expensive units. Budget is $1300-$1600 per month. Clean, responsible tenant with steady income. Please contact me if you have a suitable place available. Thank you!",44.72834,-63.64989,2024-03-19
1 bedroom in a 5 bedroom apartment.,930,"Seymour Street, Halifax, NS",2024-03-06T20:55:04.000Z,13 days ago,Apartment,1,2,"Hydro,Heat,Water",,0,Month-to-month,No,"1,200",Yes,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,"Gym,Bicycle Parking,Elevator in Building",Owner,,I am subletting by bedroom in my 5 bedroom apartment this summer. The other 4 bedrooms will be occupied. Looking for a university student that will be staying here this summer. Laundry is included in the building but must be paid for. There are 2 bathrooms in the apartment that are shared by the 5 people. Let me know if there are any further question!,44.63858,-63.58979,2024-03-19
"New Apartment, WEST END  #302 6433 Young Street - Halifax",2100,"6433 Young Street, Halifax, NS",2024-03-06T22:17:06.000Z,13 days ago,Apartment,1,1,"Hydro,Heat,Water",Not Included,0,1 Year,Yes,790,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,"Gym,Concierge,24 Hour Security,Bicycle Parking,Elevator in Building",Owner,,"I am a tenant, and if you want a contract, you can apply through the website www.ccpmgroup.ca",44.65387,-63.61056,2024-03-19
Two-Bedroom Plus Den Apartment in the Heart of Dartmouth,2500,"7 Horizon Court, Dartmouth, NS, B3A 4R2",2024-03-07T00:09:55.000Z,13 days ago,Apartment,2 + Den,2,,Not Included,0,1 Year,No,"1,292",No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.horizoncourt.ca,,44.68942,-63.5637,2024-03-19
Charming Country Retreat with Modern Comforts!,2000,"586 Pockwock Road, Upper Hammonds Plains, NS, B2N 1N2",2024-03-07T00:09:59.000Z,13 days ago,Apartment,2,1,Water,Not Included,1,1 Year,Yes,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,,Professional,www.splitrockproperties.ca,,44.74994,-63.81959,2024-03-19
Apartment for rent ,1600,"Halifax, NS, B3H 3M5",2024-03-07T12:49:49.000Z,13 days ago,Apartment,Bachelor/Studio,1,,Not Included,1,Month-to-month,No,300,No,,Yes,,No,,Owner,,"Apartment for rent newly renovated includes all utilities
Has gym and restaurant in building
Parking is available for extra fee
Laundry on floor
Available April 1st to September 1st with option to renew
Has A/C ",44.63839,-63.58979,2024-03-19
"Cozy, quiet 2 Bedroom Flat Available June 1st",2250,"Halifax, NS B3N 2M8",2024-03-07T13:03:55.000Z,13 days ago,Basement,2,1,"Heat,Water",,1,1 Year,No,900,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,"Yard,Balcony",Outdoors only,,Owner,,"Cozy, quiet 2 bedroom flat on quiet street, near all amenities and public transportation on Coronation Avenue.,Unit features, stainless steel fridge and stove, in suite laundry, off street parking, hardwood floors, private back deck, a 10' x 12' storage shed just steps away in private backyard.,Along with the items listed above, rent also includes heat, water and wifi,Photos wont upload, so I can send upon request.",44.65453,-63.64021,2024-03-19
1 BDRM SUITE-2966 WINDSOR-BOUTIQUE-WASH&DRY-APRIL1!!,1795,"Windsor Street, Halifax, NS",2024-03-07T15:18:43.000Z,12 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,1,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"24 Hour Security,Bicycle Parking",Professional,www.peppermintproperties.ca,"2966 WINDSOR STREET
“Windsor West”,Windsor West is a collection of 24 one-bedroom residences in Halifax's sought-after neighborhood. Originally designed by renowned developer Donald Arron, it has been redeveloped in an Art-Deco style. The building offers private layouts with two wings and is located across from the Halifax Forum. The interiors and exteriors capture the essence of early 20th-century Art Deco and Moderne design. Amenities include designer kitchens, stainless steel appliances, in-suite washer/dryer, energy-efficient fixtures, and secure access. Windsor West also provides direct access to Windsor Street bike lanes and a secure bike storage facility. Situated near other landmark residences and boutique commercial spaces.,Heat, Water and Hot Water Included
Option to add parking for additional cost,Convenient private layouts in a 3-story building.
All new designer kitchens.
Six stainless steel appliances.
In-suite washer and dryer.
Energy-efficient fixtures.
Security access intercom system.
Direct access to Windsor Street bike lanes.
Custom-designed onsite Bike Storage facility with in-floor heat.
Key fob secure access for bike storage.",44.65551,-63.60576,2024-03-19
"Stonecrest Village - 1 Bdrm - 79,81 Radcliffe Drive & 80,85,90, ",1895,"81 Radcliffe Drive, Halifax, NS, B3M 4L4",2024-03-01T00:09:24.000Z,19 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Yes,780,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Storage Space",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/stonecrest-village/,As a resident of Stonecrest Village you will have access to an array of amenities which include:, , , ,What's included in your rent,Heat, Water,Have Questions? Contact the Property Manager: 902-457-3600",44.66798,-63.67095,2024-03-19
1 Bedroom Apartment for Rent (May-Aug),918,"Halifax, NS B3K",2024-03-01T04:12:22.000Z,19 days ago,Duplex/Triplex,1,1,,Not Included,0,Month-to-month,No,500,Yes,Fridge / Freezer,No,,No,,Owner,,"*CURRENTLY PENDING*
I am looking for someone to sublet my furnished 1 bedroom apartment from May to August. Please see the following details about the unit:
* Location: Buddy Daye Street
* Price: $918 + utilities
* Furnished (bed, desk etc)
* Very spacious
* Close to downtown
* No smoking
* Single occupancy only
* No pets
* University student or working professional preferred,I am looking for someone clean and respectful. I can provide more pictures and provide a tour.,Please provide a quick introduction of yourself if you are interested. Thank you!",44.66021,-63.60095,2024-03-19
2bed apartment lease takeover/lease transfer,2075,"36 Kelly St, Halifax, NS B3N 1W2",2024-03-01T13:00:59.000Z,19 days ago,Apartment,2,1,,Not Included,1,1 Year,No,950,No,,Yes,,Outdoors only,,Owner,,"2bhk newly renovated apartment lease takeover / lease transfer
Rent: 2075 per month including heat and hot water and one parking.
Location: 36 Kelly street
Lease start from April and ends on Feb 2024, option to renew.
Near to Walmart and Halifax Shopping Centre
Located in a Quiet neighborhood
Dm me for more information.
",44.63335,-63.62955,2024-03-19
TWO BEDROOM PLUS DEN APARTMENT IN THE HEART OF DARTMOUTH,2600,"10 Horizon Court, Dartmouth, NS, B3A 0A4",2024-03-01T20:01:12.000Z,18 days ago,Apartment,2 + Den,2,,Not Included,0,1 Year,No,"1,494",No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.horizoncourt.ca,,44.68898,-63.56287,2024-03-19
19 Twenty Apartments - 1 Bdrm available at 1920 Brunswick Street,2200,"1920 Brunswick Street, Halifax, NS, B3J 0C5",2024-03-01T21:06:00.000Z,18 days ago,Apartment,1,1,,Not Included,0,1 Year,Yes,700,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Storage Space,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/19-twenty-apartments/,Located close to downtown and the stunning Halifax waterfront, 19 Twenty Apartments is a newly built luxury building with quality amenities and superior finishes. The building offer spacious open-concept bachelor, one, and two bedroom luxury apartments for rent. Residents of 19 Twenty Apartments will have access to an array of amenities:, , ,Have Questions? Contact the Property Manager: 902-444-1654",44.64964,-63.58068,2024-03-19
Open House - Beautiful 2 Bedroom + Den **Farview**,2200,"Adelaide Avenue, Halifax, NS",2024-03-01T21:13:15.000Z,18 days ago,Apartment,2 + Den,2,Water,Not Included,1,1 Year,No,"1,000",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,,Owner,,"OPEN HOUSE this Sunday, 12pm - 3pm
38 Adelaide Avenue, Halifax,This unit is located in middle Fairview. It is on the top level of a 3 unit building. It has large windows and gets plenty of sunlight throughout the day. The balcony off the kitchen is nice for those evening coffees in the summer. Laminate and Tile flooring; granite countertops in the kitchen and island. Space for dining room table as well! The bedrooms are a good size, with the Master having an ensuite as well as a large walk in closet. Appliances include fridge, stove, range hood, washer and dryer. There is a heat pump for your heating and Air conditoning needs.,There are many amenities within walking distance: Tim Hortons/Esso On The Run (7 minutes), Giant Tiger (11 minutes) Shoppers Drug Mart (13 minutes) Atlantic Superstore (15 minutes).,Driving distance is Bayers Lake (5 minutes), Highway 102 Access (3 minutes), Mackay Bridge (5 minutes), Armdale Roundabout (5 minutes).,Major bus routes are close and within walking distance (within 10 minutes). Routes include: 2, 3, 4, 28, 135, 136, 137, 138,No smoking, No pets please.,Overall a nice place to live.,Please email for viewings.,Thanks",44.65574,-63.63923,2024-03-19
"Spring Garden - 1 Bdrm available at 5770 Spring Garden Road, Hal",2100,"5770 Spring Garden Road, Halifax, NS, B3H 4J8",2024-03-01T21:30:00.000Z,18 days ago,Apartment,1,1,Water,Not Included,0,1 Year,Yes,743,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Pool,Bicycle Parking,Storage Space,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/spring-garden/,Located close to downtown and the stunning waterfront, 5770 Spring Garden is a highly desirable rental apartment building with quality amenities and superior finishes located in Halifax, Nova Scotia.,As a resident of Spring Gardens you will have access to an array of amenities which include a fitness centre, fenced dog park, large social room, car wash station on P1 level, outdoor patio and garden area, and storage lockers., , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: 902-422-5254",44.64159,-63.58123,2024-03-19
Park Victoria Apartments - 1 Bdrm available at 1333 South Park S,2110,"1333 South Park Street, Halifax, NS, B3J 2K9",2024-03-01T21:36:00.000Z,18 days ago,Apartment,1,1,Water,Not Included,0,1 Year,Yes,614,No,Laundry (In Building),No,Balcony,No,"Bicycle Parking,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/park-victoria-apartments/,Our large 3 bedroom apartments provide plenty of options for a home office space or room for those working from home.,With 1, 2 and 3 bedroom apartments for rent in Halifax, it’s easy to imagine life at Park Victoria Apartments. Convenience extends to your guests with non-resident parking available. Inquire about our military, senior and capital Health incentives when you rent at Park Victoria., , , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-7676",44.64039,-63.57867,2024-03-19
Park Victoria Apartments - 2 Bdrm available at 1333 South Park S,2640,"1333 South Park Street, Halifax, NS, B3J 2K9",2024-03-02T00:11:09.000Z,18 days ago,Apartment,2,1,Water,Not Included,0,1 Year,Yes,830,No,Laundry (In Building),No,Balcony,No,"Bicycle Parking,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/park-victoria-apartments/,Our large 3 bedroom apartments provide plenty of options for a home office space or room for those working from home.,With 1, 2 and 3 bedroom apartments for rent in Halifax, it’s easy to imagine life at Park Victoria Apartments. Convenience extends to your guests with non-resident parking available. Inquire about our military, senior and capital Health incentives when you rent at Park Victoria., , , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-7676",44.64039,-63.57867,2024-03-19
Somerset Place Apartments - Bachelor available at 1030 South Par,1780,"1030 South Park Street, Halifax, NS, B3J 2K9",2024-03-02T00:11:09.000Z,18 days ago,Apartment,Bachelor/Studio,1,Water,Not Included,0,1 Year,Yes,500,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/somerset-place-apartments/,Somerset Place Apartments, featuring Bachelor, Junior 1, 1, and 2 bedroom apartments for rent in Halifax, is a perfect location in the South end of Halifax that is only steps away from St. Mary’s University, Dalhousie University, the Victoria General (VG) Hospital, grocery shopping, fine dining and the downtown business district., ,Residents can entertain in our social room that features a kitchenette and washroom, or spend some time exercising in the building’s fitness centre., ,These quiet Halifax apartments offers its tenants the pleasure of pizza, receiving a hair-cut, or enjoying a cup of Coffee at Uncommon Grounds all without having to leave the property. With amenities like this combined with our close proximity to schools, shopping, and downtown Halifax visit Somerset Place today to find your next Halifax apartment rental., , , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-7575",44.63511,-63.57645,2024-03-19
The Liam Sackville Dr 2 Bedroom Ready for June 1st,2550,"533 Sackville Dr., Lower Sackville, NS, B4C 2S1",2024-03-02T00:11:11.000Z,18 days ago,Apartment,2,1,"Heat,Water",Not Included,1,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,,Professional,,,44.76701,-63.68255,2024-03-19
Apartment for rent,2925,"Chestnut Street, Halifax, NS",2024-03-02T01:35:22.000Z,18 days ago,Apartment,2,2,"Heat,Water",Not Included,2,Month-to-month,Yes,40,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,"Gym,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,,"New apartment 6433 young st all unit for rent, the earliest end of April / early May to move in, after October can be renewed with the building management, with an independent bathroom (not in the room), a cat and a dog at home, including water and heating, downstairs is the No. 1 bus station (take the bus about 12min to dal), the indoor parking space needs to be applied for with the building management, the building has its own gym, you can come to see the room at any time, please feel free to contact me！",44.64137,-63.59505,2024-03-19
MODERN & RENOVATED | 2 BED | 1 BATH | BEDFORD,2095,"Millview Avenue, Bedford, NS",2024-03-02T01:53:42.000Z,18 days ago,Apartment,2,1,Water,Not Included,0,1 Year,Limited,900,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,Storage Space,Owner,,"✨April 1 2024 - 2 BED | 1 BATH ✨,Please EMAIL kanzi@unitedgulf.ca with the following questions answered:,1- How many occupants?
2- Do you have pets? (Cat friendly)
3- Employment information
- Where do you work & for how long?
4- Number of vehicles.
5- Where do you currently reside?
6- Reason for moving?
7- Move in date?,• Qualifications to apply are full time job and good established credit history.,Completely gutted brand new renovation - completely redone A-Z. Brand new bathroom, kitchen & flooring. Equipped with modern fixtures - this unit is the epitome of comfort and style.,✨ Key Features:
• Includes: Water, premium roller blinds, AC split heat pump & lots of storage.
• 6 brand new appliances: fridge, microwave, stove, dishwasher, washer and dryer.
• Bedford basin views!
• Backyard for summer days & BBQ!,• Modern & bright apartment with convenient location Bedford Hwy (Millview Drive) - 7 mins to Mount Saint Vincent University.,✨ Bright and Airy Living:
Enjoy sunlit days in this radiant apartment, perfect for those who appreciate a well-lit living space.,✨Tenant Responsibilities:
• Power
• Tenant's Insurance,Parking:
• Private Garage Parking : $150 per
• Outdoor Parking : $75,Don't miss the chance to make this bright and stylish space your own!",44.70672,-63.66589,2024-03-19
"2 Bedroom, 2 level duplex, North End Hfx $2400, Available May 1",2400,"3861 Kencrest Ave, Halifax, NS B3K 3L4",2024-03-02T02:30:24.000Z,18 days ago,Duplex/Triplex,2,1,Water,Not Included,1,1 Year,Limited,"1,200",No,Laundry (In Unit),No,"Yard,Balcony",Outdoors only,,Owner,,"Available for May 1, 2024. A fantastic location for this 2 bedroom 2 level Flat. Address is 3861 Kencrest. nicely renovated. Washer/Dryer inside Unit. Nice deck with great views of harbour/water.
If the Price, Location, and dates available are perfect for you then let’s set a time to view this next week.
Thank you",44.6735,-63.61306,2024-03-19
2 Bedroom Basement Apartment North End Halifax,1750,"Halifax, NS B3K 2S1",2024-03-02T03:35:26.000Z,18 days ago,Apartment,2,1,"Hydro,Heat,Water",,0,1 Year,Yes,600,No,Fridge / Freezer,Yes,,No,,Owner,,2 Bedroom basement apartment on main route in north end Halifax. Bus stops outside the door. All utilities included. Pet friendly. Great for single person or couple.,44.66527,-63.61601,2024-03-19
The Nook - 2 Bedroom Apartment for Rent,2700,"5601 Fenwick St., Halifax, NS, B3H 1R1",2024-03-02T12:42:01.000Z,18 days ago,Apartment,2,2,,Not Included,0,1 Year,No,905,No,,No,,No,,Professional,www.templetonproperties.ca,"Welcome to The Nook! Immerse yourself in the epitome of modern living at our newly constructed 3-story, 10-unit building with retail space on the lower level. Situated in the heart of South Village, Halifax, this chic residence offers an unparalleled lifestyle with convenience at its core. Be part of a community that boasts shopping, a grocery store right across the street, award-winning restaurants, and a lively nightlife scene—all just steps away. Moreover, South Village is within walking distance to Dalhousie and Saint Mary’s Universities.,Discover a range of living options with our 1 and 2-bedroom units at The Nook. In this contemporary oasis, you're responsible for your home entertainment and electricity, leaving the rest to us. Delight in the luxury of an on-site gym, available 7 days a week, ensuring your well-being is a top priority.,The lobby is a bustling hub, featuring a bakery, a bubble tea cafe, a convenience store, a golf simulation room, and a social space, all adding to the vibrant atmosphere of The Nook. Step into elegance with high-end craftsmanship evident in each unit. Designed with entertaining in mind, our spaces come complete with islands for additional seating, 6 stainless steel appliances, granite countertops, wood cabinets, in-suite laundry, spacious bathrooms, ample storage, and large windows that flood the interiors with natural light.,For inquiries and viewings, contact vuze@templetonproperties.ca or visit our website. Don't miss the chance to be the first to make The Nook your new home!,Welcome to The Nook—where contemporary living meets vibrant community! Be the first to call The Nook home!,These units are finished with high-end craftsmanship!  Designed with entertaining in mind, each unit is fitted with an island for additional seating. Other unit features include:,Please contact us at vuze@templetonproperties.ca or visit our website to book your viewing today!  Be the first to make The Nook your new home!,Welcome to The Nook! Discover a modern haven in the heart of South End Halifax, where urban living meets convenience. This newly constructed 3-story, 10-unit building with retail space on the lower level is designed for those seeking a vibrant lifestyle.,Strategically located in the bustling South End, The Nook provides top-notch convenience to neighboring universities, hospitals, recreation spots, and businesses. Experience the charm of South End Halifax, where shopping, dining, and entertainment options surround you.,Choose from our stylish 1 and 2-bedroom units, where you're in charge of home entertainment and electricity while we take care of the rest. Embrace a healthy lifestyle with our on-site gym available 7 days a week, ensuring your well-being is prioritized.,The lobby is a dynamic space, featuring a bakery, bubble tea cafe, convenience store, golf simulation room, and a social space—creating a vibrant community hub. Each unit showcases high-end craftsmanship, including islands for additional seating, 6 stainless steel appliances, granite countertops, wood cabinets, in-suite laundry, spacious bathrooms, ample storage, and large windows that fill the interiors with natural light.,Brand New Building",44.63798,-63.5751,2024-03-19
"(Reduce) 1 bed+1 den, 1 beth for Friends or couple (furnitured)",1600,"769 Bower Rd, Halifax, NS B3H 4N3",2024-02-23T21:34:47.000Z,25 days ago,Basement,2,1,"Hydro,Heat,Water",Not Included,1,1 Year,No,750,Yes,Fridge / Freezer,No,,No,,Owner,,"****Reduce price for short term (April 1 to June 30)
This place is ideal for two students or couple near SMU and DAL in South end.
We provide furniture and various amenities for comfortable living in a convenient location with easy access to transportation and all facilities nearby. Friends or couples are welcome.
It is include heat, hot water, electric / not include wash&dry.
No smoking, No pet. Limited 2 people.,Please send me text 902-402-2058.
Thank you!",44.62891,-63.57779,2024-03-19
"Bently - 1 Bedroom, 1 Bathroom Apartment for Rent",1995,"15 Bently Drive, Halifax, NS, B2S 0G2",2024-02-23T21:42:01.000Z,25 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,24 Hour Security,Storage Space,Elevator in Building",Professional,www.hazelviewproperties.com,"Welcome to Bently, a rental community situated in a quiet, park-like setting in lively Clayton Park West. Are you looking for a well-rounded life without compromise? You've found your spot. It's conveniently located just a few minutes away from schools and the retail and recreation hub of Bayer's Lake Business Park where you'll find Costco, Canadian Tire, Staples, Walmart, Atlantic Superstore and much more. Stocking up on everyday essentials couldn't be easier. You'll love being close to Scotiabank Theatres, Chapters and a mini-golf course. A go-kart track is located nearby as well. If full-size golf is more your speed, Fairview Hills Golf Centre is just across the street from Bently. You can walk to the woodland hiking trails and off-leash dog park at Halifax Mainland Common, with more nature trails at Greenpark Close. All this is at your doorstep with downtown Halifax less than 15 minutes away.,You and your family will love the spacious, open-concept living and premium amenities of Bently. Your luxury rental apartment features in-suite laundry and a designer kitchen with granite counters and stainless steel appliances. Keep fit in the gym and entertain in the party room. This pet-friendly home features on-site professional management for worry-free living.,You deserve to have it all. It's all waiting for you at Bently (15 Bently Drive).",44.64895,-63.65723,2024-03-19
Halifax Apartments – Scotia Tower - 1 Bdrm available at 1991 Bru,1895,"1991 Brunswick Street, Halifax, NS, B3J 3L8",2024-02-24T00:48:55.000Z,25 days ago,Apartment,1,1,Water,Not Included,0,1 Year,Yes,659,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Pool,Bicycle Parking,Storage Space,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/halifax-apartments-scotia-tower/,As a resident of Scotia Tower you will have access to an array of amenities which include a large indoor pool and changerooms, a fitness centre, a social lounge, and a business centre with free Wi-Fi. For even more added convenience onsite at 1991 Brunswick is a grocery and a restaurant., , , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: 902-422-5747",44.64917,-63.57983,2024-03-19
Near Hydrostone: Get on the List! Large North End Apartments,,"3807 Mont Blanc Terrace, Halifax, NS, B3K 6R9",2024-02-24T00:50:02.000Z,25 days ago,Apartment,2 + Den,2,"Heat,Water",Not Included,0,1 Year,No,"1,400",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Storage Space,Elevator in Building",Professional,www.polycorp.ca,"If you want to know about available apartment homes at Mont Blanc ,, then join our mailing list. ,When a suite becomes available, we'll send you an email with the details...before we place it on our website or advertise it on Kijiji.,email rent@polycorp.co (not a typo),call 902-431-9912,go to our website: www.polycorp.ca/check-availability. You can also click on the website link to the right.,: this is ,to put your name on our Advanced Notification Mailing List.,Thanks for your interest in The Residences at Mont Blanc",44.6733,-63.60903,2024-03-19
Somerset Place Apartments - 2 Bdrm available at 1030 South Park ,2735,"1030 South Park Street, Halifax, NS, B3J 2K9",2024-02-24T00:51:03.000Z,25 days ago,Apartment,2,1,Water,Not Included,0,1 Year,Yes,950,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/somerset-place-apartments/,Somerset Place Apartments, featuring Bachelor, Junior 1, 1, and 2 bedroom apartments for rent in Halifax, is a perfect location in the South end of Halifax that is only steps away from St. Mary’s University, Dalhousie University, the Victoria General (VG) Hospital, grocery shopping, fine dining and the downtown business district., ,Residents can entertain in our social room that features a kitchenette and washroom, or spend some time exercising in the building’s fitness centre., ,These quiet Halifax apartments offers its tenants the pleasure of pizza, receiving a hair-cut, or enjoying a cup of Coffee at Uncommon Grounds all without having to leave the property. With amenities like this combined with our close proximity to schools, shopping, and downtown Halifax visit Somerset Place today to find your next Halifax apartment rental., , , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-7575",44.63511,-63.57645,2024-03-19
The Welsford Apartments - Bachelor available at 2074 Robie Stree,1750,"2074 Robie Street, Halifax, NS, B3K 5L3",2024-02-24T00:51:03.000Z,25 days ago,Apartment,Bachelor/Studio,1,Water,Not Included,0,1 Year,Yes,507,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/the-welsford-apartments/,Situated in a quiet high-rise building with just six apartments per floor and stunning views of the city.,Some of our building amenities include laundry rooms on every 2nd floor, an 8th floor patio (open during the summer), intercom security, and ample parking.,You will have the option to walk, bike or take a short bus ride, with transit right in front of the building, to both Dalhousie University and Saint Mary’s University, the Halifax Infirmary and Victoria General Hospital. In the summer take a stroll on the Halifax Commons, or a dip in the wading pool, enjoy Canada Day festivities from your own balcony and during the winter months enjoy skating on the famous Halifax Oval skating rink. With so much to do right at your door step don’t miss out on these prime Halifax apartment rentals and make The Welsford your next apartment home., , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-3838",44.64878,-63.59128,2024-03-19
Somerset Place Apartments - 1 Bdrm available at 1030 South Park ,1970,"1030 South Park Street, Halifax, NS, B3J 2K9",2024-02-24T00:51:04.000Z,25 days ago,Apartment,1,1,Water,Not Included,0,1 Year,Yes,660,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/somerset-place-apartments/,Somerset Place Apartments, featuring Bachelor, Junior 1, 1, and 2 bedroom apartments for rent in Halifax, is a perfect location in the South end of Halifax that is only steps away from St. Mary’s University, Dalhousie University, the Victoria General (VG) Hospital, grocery shopping, fine dining and the downtown business district., ,Residents can entertain in our social room that features a kitchenette and washroom, or spend some time exercising in the building’s fitness centre., ,These quiet Halifax apartments offers its tenants the pleasure of pizza, receiving a hair-cut, or enjoying a cup of Coffee at Uncommon Grounds all without having to leave the property. With amenities like this combined with our close proximity to schools, shopping, and downtown Halifax visit Somerset Place today to find your next Halifax apartment rental., , , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-7575",44.63511,-63.57645,2024-03-19
2 Beds 2 Baths - Apartment in Queen's Marque,3660,"1715 Lower Water Street, Halifax, NS",2024-02-25T19:18:58.000Z,23 days ago,Condo,2,2,"Hydro,Water",,0,1 Year,Yes,989,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Pool,Concierge,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,,"Take in views of the Halifax Harbour and Atlantic Ocean through floor-to-ceiling windows in the most luxurious and exclusive suites at The Residences at Queen’s Marque.,Rent is $3,660/month ($3,285/month base rent and $375/month mandatory building amenity fee for the extras listed below).,Enjoy a spacious 2 bedroom suite with ocean views. Heat, water, internet, cable and telephone included. Concierge and private driver service included. Beautiful shared rooftop terrace with fire tables, lounging area, barbecues, and work space. Your wellbeing is front and center at Queens Marque Residences with a top of the line fitness center, heated indoor pool, IR sauna, steam room, salt room, and cold plunge.,Media room, resident lounge area, with full dining room and kitchen. The building is also pet friendly and hosts a dog playroom.,https://residences.queensmarque.com/suites/skye/,Sublet immediately for remainder of lease (to September 30, 2024) with option to continue direct with the building thereafter.
Unfurnished.",44.64814,-63.57146,2024-03-19
