Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name
2 Bedroom in Halifax for April 2024,2695.0,"6016 Pepperell Street, Halifax, NS, B3H 2N8",2024-02-26T19:50:45.000Z,3 days ago,Apartment,2,2.0,,Not Included,0,1 Year,Limited,953,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"Gym,24 Hour Security,Bicycle Parking,Storage Space",Professional,thegeorgeresidence.com
1 Bedroom in Halifax for May,2025.0,"6016 Pepperell Street, Halifax, NS, B3H 2N8",2024-02-26T19:50:46.000Z,3 days ago,Apartment,1,1.0,,Not Included,0,1 Year,Limited,484,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"Gym,24 Hour Security,Bicycle Parking,Storage Space",Professional,thegeorgeresidence.com
1 Bedroom Downtown Halifax for May,2095.0,"1363 Hollis Street, Halifax, NS, B3J 1T8",2024-02-24T00:48:50.000Z,6 days ago,Apartment,1,1.0,,Not Included,0,1 Year,No,615,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"Gym,24 Hour Security,Bicycle Parking,Storage Space",Professional,flynnflats.com
Halifax Apartments – Scotia Tower - 1 Bdrm available at 1991 Bru,1895.0,"1991 Brunswick Street, Halifax, NS, B3J 3L8",2024-02-24T00:48:55.000Z,6 days ago,Apartment,1,1.0,Water,Not Included,0,Month-to-month,Yes,659,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Pool,Bicycle Parking,Storage Space,Elevator in Building",Professional,www.capreit.ca
Near Hydrostone: Get on the List! Large North End Apartments,,"3807 Mont Blanc Terrace, Halifax, NS, B3K 6R9",2024-02-24T00:50:02.000Z,6 days ago,Apartment,2 + Den,2.0,"Heat,Water",Not Included,0,1 Year,No,"1,400",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Storage Space,Elevator in Building",Professional,www.polycorp.ca
Somerset Place Apartments - 2 Bdrm available at 1030 South Park ,2635.0,"1030 South Park Street, Halifax, NS, B3J 2K9",2024-02-24T00:51:03.000Z,6 days ago,Apartment,2,1.0,Water,Not Included,0,1 Year,Yes,968,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.capreit.ca
The Welsford Apartments - Bachelor available at 2074 Robie Stree,1750.0,"2074 Robie Street, Halifax, NS, B3K 5L3",2024-02-24T00:51:03.000Z,6 days ago,Apartment,Bachelor/Studio,1.0,Water,Not Included,0,1 Year,Yes,507,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Elevator in Building",Professional,www.capreit.ca
"Harbour View Apartments - 2 Bdrm - 2334 Longard Plaza, 2309, 231",2545.0,"2334 Longard Plaza, Halifax, NS, B3K 5K6",2024-02-24T00:51:04.000Z,6 days ago,Apartment,2,1.0,"Heat,Water",Not Included,0,1 Year,Yes,807,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Elevator in Building",Professional,www.capreit.ca
Somerset Place Apartments - 1 Bdrm available at 1030 South Park ,1970.0,"1030 South Park Street, Halifax, NS, B3J 2K9",2024-02-24T00:51:04.000Z,6 days ago,Apartment,1,1.0,Water,Not Included,0,1 Year,Yes,660,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.capreit.ca
Fantastic One Bedroom in Central Spryfield April 15th $1695.00,1695.0,"56 Old Sambro Road, Halifax, NS, B3R 1R1",2024-02-24T00:54:01.000Z,6 days ago,Apartment,1,1.0,"Heat,Water",Not Included,1,1 Year,No,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,,Professional,www.olympusproperties.ca
"Beautiful, Upscale 2 bedroom in highly desirable The James",2395.0,"5620 South Street, Halifax, NS, B3J 0A7",2024-02-24T00:54:01.000Z,6 days ago,Apartment,2,1.0,Water,Not Included,0,1 Year,No,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,24 Hour Security,Bicycle Parking,Elevator in Building",Professional,www.olympusproperties.ca
"Central Halifax, Heat, HW No PARKING- laminate flooring",1300.0,"5783 North st., Halifax, NS, B3K 1N6",2024-02-24T05:21:44.000Z,6 days ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,Outdoors only,"24 Hour Security,Bicycle Parking",Professional,
1Bed/Basement,1500.0,B3N1V8,2024-02-24T12:48:23.000Z,5 days ago,Basement,Bachelor/Studio,1.0,,Not Included,1,1 Year,Limited,400,Yes,,No,,Outdoors only,,Owner,
Downtown Dartmouth 1 Bedroom Flat,1495.0,"Dartmouth, NS B3A 1L1",2024-02-24T13:29:08.000Z,5 days ago,Apartment,1,1.0,"Heat,Water",Not Included,1,1 Year,No,800,No,"Laundry (In Building),Fridge / Freezer",No,,No,,Owner,
23-107 Large upper-level flat in the North End,2475.0,"Robie Street, Halifax, NS, B3K 4P2",2024-02-24T14:16:18.000Z,5 days ago,Apartment,4,1.0,Water,Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,,Professional,www.halifaxqualityhomes.com
NEW BUILD - 3 Bedroom Upper Flat,2600.0,"33 McIntosh Street, Halifax, NS, B3R 1G9",2024-02-24T14:48:00.000Z,5 days ago,Apartment,3,1.0,Water,Not Included,1,Not Available,Yes,1,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,,Professional,homekeyrentals.rhenti.com
NEW BUILD - 2 Bedroom Lower Flat,2250.0,"33 McIntosh Street, Halifax, NS, B3R 1G9",2024-02-24T14:54:00.000Z,5 days ago,Basement,1,1.0,,Not Included,1,Not Available,Yes,1,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,,Professional,homekeyrentals.rhenti.com
3 Bedroom Apartment (Banook Lake Area) Heat &amp; Hot Water Inc.,1495.0,"15 Lakeview Point Road, Dartmouth, NS",2024-02-24T20:07:25.000Z,5 days ago,Apartment,3,1.0,"Heat,Water",Not Included,1,1 Year,Limited,850,No,"Laundry (In Building),Fridge / Freezer",No,,Yes,Storage Space,Owner,
Bright 1 Bedroom on Oxford Street Near Dalhousie University,1995.0,"1585 Oxford Street, Halifax, NS, B3H 3Z3",2024-02-22T19:06:00.000Z,7 days ago,Apartment,1,1.0,Water,Not Included,1,Not Available,Yes,583,No,"Dishwasher,Fridge / Freezer",No,,No,"Storage Space,Elevator in Building",Professional,templetonproperties.rhenti.com
Bright 1 Bedroom Near Dalhousie University,1850.0,"1545 Oxford Street, Halifax, NS, B3H 3Z3",2024-02-22T19:54:00.000Z,7 days ago,Apartment,1,1.0,Water,Not Included,1,Not Available,Yes,475,No,Fridge / Freezer,No,,No,"Storage Space,Elevator in Building",Professional,templetonproperties.rhenti.com
Apartment lease take over ,1444.0,"5252 Tobin St, Halifax, B3H 4K2",2024-02-22T20:13:45.000Z,7 days ago,Apartment,Bachelor/Studio,1.0,"Hydro,Heat,Water",Not Included,0,1 Year,No,700,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,Outdoors only,,Owner,
2-Bedroom Sublet on corner of Compton and Windsor street,1850.0,"Halifax, NS B3K 5B7",2024-02-22T20:24:24.000Z,7 days ago,Apartment,2,1.0,"Heat,Water",Not Included,0,Month-to-month,Limited,850,No,"Dishwasher,Fridge / Freezer",No,Balcony,No,,Owner,
"The Vuze Panoramic 2 Bed, 1.5 Bath Units - Your Urban Retreat!",2900.0,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-02-22T21:45:35.000Z,7 days ago,Apartment,2,1.5,"Heat,Water",Not Included,0,1 Year,Limited,"1,100",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,,Professional,www.templetonproperties.ca
"Perfect for Students - The Vuze 2 Bed, 1 Bath Apartments!",2600.0,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-02-22T21:45:49.000Z,7 days ago,Apartment,2,1.0,"Heat,Water",Not Included,0,1 Year,Limited,750,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.templetonproperties.ca
Spectacular Views from our Studio Units Overlooking the Harbour,1995.0,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-02-22T21:45:55.000Z,7 days ago,Apartment,Bachelor/Studio,1.0,"Heat,Water",Not Included,0,1 Year,Limited,450,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.templetonproperties.ca
"Best View in the City - Penthouse 1 Bed, 1 Bath Unit at the Vuze",2450.0,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-02-22T21:45:59.000Z,7 days ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,Limited,500,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,24 Hour Security,Elevator in Building",Professional,www.templetonproperties.ca
1 Bedroom Hall Kitchen Ensuite ( including utilities),,"Broad St, Bedford, NS B4B",2024-02-22T23:13:11.000Z,7 days ago,Apartment,1 + Den,1.0,"Hydro,Heat,Water",,1,Month-to-month,No,"1,012",No,"Laundry (In Building),Fridge / Freezer",Yes,Yard,No,,Owner,
3 Bedroom in Dartmouth for March 15th,2295.0,"31 Russell Lake Drive, Dartmouth, NS, B2W 6J3",2024-02-23T00:26:49.000Z,7 days ago,Apartment,3,2.0,"Heat,Water",Not Included,0,1 Year,No,"1,396",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,"Gym,24 Hour Security,Bicycle Parking,Storage Space",Professional,www.lakecrestestates.ca
Bachelor Apartment Downtown Halifax for May,1325.0,"1333 Barrington Street, Halifax, NS, B3J 1Y5",2024-02-23T00:27:42.000Z,7 days ago,Apartment,Bachelor/Studio,1.0,"Heat,Water",Not Included,0,1 Year,Limited,270,No,"Laundry (In Building),Fridge / Freezer",No,,No,,Professional,www.444rent.com
1 Bedroom 1 Bathroom Apartment - Cole Harbour,1500.0,"Dartmouth, NS B2Z 1A8",2024-02-23T01:09:08.000Z,7 days ago,Apartment,1,1.0,"Hydro,Heat,Water",Not Included,1,Month-to-month,No,400,No,"Laundry (In Unit),Fridge / Freezer",No,Yard,No,,Owner,
Lovely 3 bedroom Apt - Old Dartmouth,1995.0,"Dartmouth, NS B2Y 3N5",2024-02-23T01:26:29.000Z,7 days ago,Apartment,3,1.0,,Not Included,1,1 Year,Limited,"1,158",No,"Laundry (In Unit),Dishwasher",No,"Yard,Balcony",Outdoors only,Storage Space,Owner,
Three bedroom basement ,800.0,"Halifax, NS, B3M4M9",2024-02-23T02:10:23.000Z,7 days ago,Basement,3,1.0,,Not Included,0,1 Year,Yes,"1,000",No,,No,,No,,Owner,
Ready Now 1 Green St New Large Bachelor Apartment All Utils Inc,1525.0,"5266 Green Street, Halifax, NS",2024-02-23T03:25:24.000Z,7 days ago,Apartment,Bachelor/Studio,1.0,"Hydro,Heat,Water",Not Included,0,1 Year,Limited,575,No,"Laundry (In Unit),Laundry (In Building),Fridge / Freezer",Yes,,No,"Gym,Elevator in Building",Owner,
April 1 Allan St Nr Quinpool Large 2 Bedroom + Den Apart Heat HW,2095.0,"Allan Street, Halifax, NS",2024-02-23T03:27:10.000Z,7 days ago,Apartment,2 + Den,1.0,"Heat,Water",Not Included,0,1 Year,Limited,"1,100",No,"Laundry (In Building),Fridge / Freezer",No,Balcony,Outdoors only,,Owner,
Looking for 2-3 bedroom ,2200.0,"3367 Federal Ave, Halifax, B3L 3X5",2024-02-20T20:40:15.000Z,9 days ago,Apartment,2 + Den,1.0,,Not Included,0,1 Year,No,900,No,,Yes,,No,,Owner,
Halifax Apartments – MacKeen Towers - 1 Bdrm available at 2001 B,1950.0,"2001 Brunswick Street, Halifax, NS, B3J 3L8",2024-02-21T00:19:24.000Z,9 days ago,Apartment,1,1.0,Water,Not Included,0,Month-to-month,Yes,751,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Pool,Bicycle Parking,Storage Space,Elevator in Building",Professional,www.capreit.ca
"The Junction - 2 Bedroom, 2 Bathroom Apartment for Rent",2475.0,"3075 Devonshire Avenue, Halifax, NS, B3K 0H5",2024-02-21T00:20:28.000Z,9 days ago,Apartment,2,2.0,,Not Included,0,1 Year,Yes,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Elevator in Building,Professional,www.hazelviewproperties.com
TWO BEDROOM PLUS DEN APARTMENT IN THE HEART OF DARTMOUTH,2600.0,"10 Horizon Court, Dartmouth, NS, B3A 0A4",2024-02-21T00:20:30.000Z,9 days ago,Apartment,2 + Den,2.0,,Not Included,0,1 Year,No,"1,494",No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.horizoncourt.ca
Looking for a 1-2 bedroom apartment for May 1,,"6299 South St, Halifax, NS B3H 4J1",2024-02-21T01:17:32.000Z,9 days ago,Apartment,1 + Den,1.0,,Not Included,1,1 Year,No,500,No,,No,,No,,Owner,
Newly renovated 1 bedroom one bathroom all included,1800.0,"Halifax, NS B4B",2024-02-21T06:18:13.000Z,9 days ago,Basement,1,1.0,"Hydro,Heat,Water",,1,1 Year,No,500,No,"Laundry (In Unit),Fridge / Freezer",No,"Yard,Balcony",Yes,,Owner,
BEAUTIFUL 2 BEDROOM IN DARTMOUTH ON ROLEIKA DRIVE!,1496.0,"104 Roleika Dr., Dartmouth, NS, B2X 1M7",2024-02-21T12:42:00.000Z,8 days ago,Condo,2,1.0,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,No,Elevator in Building,Professional,
BEAUTIFUL 2 BEDROOM ON CHURCHILL CRESCENT IN DARTMOUTH!,1496.0,"14 Churchill Court, Dartmouth, NS, B2X 1N4",2024-02-21T12:48:00.000Z,8 days ago,Apartment,2,1.0,"Heat,Water",Not Included,0,1 Year,Yes,Not Available,No,Laundry (In Building),No,,No,,Professional,
2BED/2Bath flat @ DAL w/ EVERYTHING INCLUDED,2500.0,"Halifax, NS B3H 3H3",2024-02-21T12:49:56.000Z,8 days ago,Duplex/Triplex,2,2.0,"Hydro,Heat,Water",,0,1 Year,No,"1,500",Yes,Fridge / Freezer,No,,Outdoors only,,Owner,
1 bed 1 bath available in 2 bed 2 bath,1200.0,"6433 Young St, Halifax, NS B3L 2A4",2024-02-21T15:18:15.000Z,8 days ago,Apartment,2,2.0,,Not Included,0,Month-to-month,Yes,900,No,,Yes,,Outdoors only,,Owner,
Newly Renovated 1 Bedroom Apartment - March 1st,1695.0,"3315 Westerwald Street, Halifax, NS",2024-02-21T15:25:34.000Z,8 days ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,Limited,700,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,24 Hour Security,Owner,
Single Parent Looking for Safe Haven,1500.0,"NS-102, Halifax, NS, B3G 1R3",2024-02-21T15:35:41.000Z,8 days ago,Apartment,2,1.0,,Not Included,1,1 Year,Limited,800,No,,No,,No,,Owner,
BEAUTIFUL 1 BEDROOM IN DARTMOUTH!,1295.0,"50 Roleika Dr., Dartmouth, NS, B2X 1M4",2024-02-21T15:54:01.000Z,8 days ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,,No,,No,Elevator in Building,Professional,
3 Beds 1 Baths Apartment for RENT across from Dalhousie!!!,3600.0,"Payzant Avenue, Halifax, NS",2024-02-21T15:56:47.000Z,8 days ago,Apartment,3,1.0,"Hydro,Heat,Water",,1,1 Year,Limited,950,Yes,"Laundry (In Unit),Fridge / Freezer",No,Yard,Outdoors only,,Owner,
BEAUTIFUL 2+1 BED APT RENTAL AVAILABLE IN DARTMOUTH,1540.0,"14 Churchill Court, Dartmouth, NS, B2X 1N4",2024-02-21T16:00:01.000Z,8 days ago,Apartment,3,1.0,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,Elevator in Building,Professional,
Penthouse - 2 Bedroom 2 Bathroom,3700.0,"Beech Street, Halifax, NS",2024-02-21T18:09:20.000Z,8 days ago,Apartment,2,2.0,"Hydro,Heat,Water",Not Included,0,1 Year,Limited,"1,600",No,Laundry (In Unit),Yes,Balcony,No,"24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,
Halifax 1Bdrm Sublet April/May - August,1750.0,"Halifax, NS B3H 1N7",2024-02-15T12:06:30.000Z,14 days ago,Apartment,1,1.0,"Hydro,Heat,Water",,1,Month-to-month,No,470,Yes,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Yard,Outdoors only,"Bicycle Parking,Storage Space,Elevator in Building",Owner,
Beautiful 2-bedroom on the Dartmouth Waterfront- Available now!,1950.0,"223 Windmill Rd., Dartmouth, NS, B3A 4M6",2024-02-15T12:24:00.000Z,14 days ago,Apartment,2,1.0,"Heat,Water",Not Included,1,1 Year,No,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,24 Hour Security,Professional,
"MARCH 1st, Studio Downtown Halifax, Lease transfer",1750.0,"Tobin Street, Halifax, NS",2024-02-15T17:25:50.000Z,14 days ago,Apartment,Bachelor/Studio,1.0,"Hydro,Heat,Water",Not Included,1,1 Year,No,450,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,Outdoors only,"Storage Space,Elevator in Building",Owner,
For rent,1875.0,"3150 Barrington St, Halifax, NS B3K 0C6",2024-02-15T17:38:31.000Z,14 days ago,Apartment,1 + Den,1.0,,Not Included,0,1 Year,Limited,741,No,,No,,Outdoors only,,Owner,
2 Bedroom Downtown Halifax for June,2195.0,"5984 Spring Garden Rd, Halifax, NS, B3H 1Y7",2024-02-15T21:18:00.000Z,14 days ago,Apartment,2,1.0,"Heat,Water",Not Included,0,1 Year,Limited,736,No,,No,,No,,Professional,www.444rent.com
NOT Looking NEED  Accomidations,1100.0,"North St, Halifax, NS, B3M 2B3",2024-02-16T00:22:16.000Z,14 days ago,Apartment,1,1.0,,Not Included,0,1 Year,Yes,"1,000",No,,No,,Outdoors only,,Owner,
WELCOME TO THE UPSIDE - ONE BEDROOM APARTMENT AVAILABLE,1800.0,"17 Prince Street, Dartmouth, NS, B2Y 4W2",2024-02-16T12:42:00.000Z,13 days ago,Apartment,1,1.0,,Not Included,0,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Elevator in Building,Professional,www.upmi.ca
1 Bedroom Downtown Apartment - Summer Sublet (May 1st-July 31),1750.0,"Halifax, NS B3J 2L1",2024-02-16T15:29:26.000Z,13 days ago,Apartment,1,1.0,Water,Not Included,0,Month-to-month,No,650,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Bicycle Parking,Elevator in Building",Owner,
Single bedroom in  2 bedroom modern apartment in Clayton Park.,950.0,"Halifax, NS B3S 1M2",2024-02-16T18:57:45.000Z,13 days ago,Apartment,2,1.0,"Hydro,Heat",,1,Month-to-month,No,"1,000",Yes,Laundry (In Unit),No,"Yard,Balcony",Outdoors only,"24 Hour Security,Bicycle Parking,Elevator in Building",Owner,
2 bed 2 bath,2495.0,"6100 Almon St, Halifax, NS B3K 1T8",2024-02-16T19:28:29.000Z,13 days ago,Apartment,2,2.0,Water,Not Included,1,1 Year,Limited,"1,000",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"24 Hour Security,Elevator in Building",Owner,
TWO BEDROOM APARTMENT ACROSS FROM THE COMMONS - 5813 CUNARD STRE,2250.0,"5813 Cunard Street, Halifax, NS, B3K 1E1",2024-02-16T20:22:05.000Z,13 days ago,Apartment,2,1.0,Water,Not Included,1,1 Year,No,"1,200",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,,Professional,www.upmi.ca
NEWLY RENOVATED APARTMENT IN FAIRVIEW- 49 MELROSE AVENUE,1750.0,"49-57 Melrose Avenue, Halifax, NS, B3N 2E5",2024-02-16T20:22:13.000Z,13 days ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,Elevator in Building,Professional,www.upmi.ca
2 Bright Spacious Bedroom 1 Bathroom Apt for Rent in Bedford,2300.0,"Bedford, NS B4A 4G8",2024-02-16T22:00:54.000Z,13 days ago,Basement,2,1.0,"Heat,Water",Not Included,1,1 Year,No,"1,022",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,,Owner,
Cunard Court – Lowrise - 2 Bdrm available at 2073-2077 Brunswick,2295.0,"2077 Brunswick Street, Halifax, NS, B3K 5T8",2024-02-17T00:06:58.000Z,13 days ago,Apartment,2,1.0,Water,Not Included,0,1 Year,Yes,850,No,"Laundry (In Unit),Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,"Bicycle Parking,Storage Space",Professional,www.capreit.ca
"Harbour View Apartments - 1 Bdrm - 2334 Longard Plaza, 2309, 231",1980.0,"2334 Longard Plaza, Halifax, NS, B3K 5K6",2024-02-17T00:06:59.000Z,13 days ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,Yes,667,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Elevator in Building",Professional,www.capreit.ca
2 BEDROOM NON SMOKING APARTMENT PET FRIENDLY,1795.0,"Halifax, NS B3R 1R3",2024-02-17T10:05:57.000Z,12 days ago,Apartment,2,1.0,"Heat,Water",Not Included,1,1 Year,Limited,850,No,"Laundry (In Building),Fridge / Freezer",No,,No,,Owner,
254 Victoria Rd - Large 1 Bedroom Apartment - April 1 2024,1650.0,"254 Victoria Road, Dartmouth, NS, B3A 1X1",2024-02-09T18:22:20.000Z,20 days ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,Yes,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Yard,No,,Professional,
Prince Joe Castle - 1 Bedroom Apartment for Rent,2100.0,"5778 South St., Halifax, NS, B3H 4N5",2024-02-09T19:00:00.000Z,20 days ago,Apartment,1,1.0,Heat,Not Included,0,1 Year,Limited,562,No,Laundry (In Building),No,Balcony,No,Elevator in Building,Professional,www.templetonproperties.ca
Prince Joe Castle - Bachelor Apartment for Rent,1800.0,"5778 South St., Halifax, NS, B3H 4N5",2024-02-09T19:00:00.000Z,20 days ago,Apartment,Bachelor/Studio,1.0,Heat,Not Included,0,1 Year,Limited,356,No,Laundry (In Building),No,Balcony,No,Elevator in Building,Professional,www.templetonproperties.ca
RICHMOND YARDS // 2 BEDROOM FOR RENT IN HALIFAX,2695.0,"2735 Clifton Street, Halifax, NS",2024-02-09T20:48:02.000Z,20 days ago,Apartment,2,2.0,"Heat,Water",Not Included,0,1 Year,No,"1,100",No,"Laundry (In Unit),Dishwasher",Yes,Balcony,No,"Gym,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,
The Vuze - 2 Bedroom Apartment for Rent,2900.0,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-02-09T23:36:00.000Z,20 days ago,Apartment,2,1.5,,Not Included,0,1 Year,Limited,"1,090",No,,No,,No,,Professional,www.templetonproperties.ca
ONE BEDROOM APARTMENT AVAILABLE - DOWNTOWN DARTMOUTH,1850.0,"22-24 Dundas Street, Dartmouth, NS, B2Y 4L2",2024-02-10T01:36:00.000Z,20 days ago,Apartment,1,1.0,,Not Included,0,1 Year,No,600,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,Elevator in Building,Professional,www.upmi.ca
The Vuze - 2 Bedroom Apartment for Rent,2600.0,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-02-10T12:30:00.000Z,19 days ago,Apartment,2,2.0,,Not Included,0,1 Year,Limited,840,No,,No,,No,,Professional,www.templetonproperties.ca
The Vuze - 2 Bedroom Apartment for Rent,2600.0,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-02-10T12:30:00.000Z,19 days ago,Apartment,2,2.0,,Not Included,0,1 Year,Limited,840,No,,No,,No,,Professional,www.templetonproperties.ca
The Vuze - 2 Bedroom Apartment for Rent,2600.0,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-02-10T12:36:00.000Z,19 days ago,Apartment,2,1.0,,Not Included,0,1 Year,Limited,840,No,,No,,No,,Professional,www.templetonproperties.ca
The Vuze - 2 Bedroom Apartment for Rent,2600.0,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-02-10T12:36:00.000Z,19 days ago,Apartment,2,1.0,,Not Included,0,1 Year,Limited,840,No,,No,,No,,Professional,www.templetonproperties.ca
2 BDR   Apt  Dartmouth downtown  $1495 + available till  Aug 31,1495.0,"Dartmouth, NS B2Y 3P9",2024-02-10T16:40:03.000Z,19 days ago,Apartment,2,1.0,Water,Not Included,1,Month-to-month,No,600,No,Fridge / Freezer,No,,No,,Owner,
1 Room in 2 bedroom apartment available from 1st March 2024,750.0,"Halifax, NS B3P 2M6",2024-02-10T18:23:22.000Z,19 days ago,Apartment,2,1.0,"Heat,Water",,0,Month-to-month,No,1,Yes,"Laundry (In Building),Fridge / Freezer",No,,No,Elevator in Building,Owner,
19 Twenty Apartments - 1 Bdrm available at 1920 Brunswick Street,2220.0,"1920 Brunswick Street, Halifax, NS, B3J 0C5",2024-02-11T00:07:29.000Z,19 days ago,Apartment,1,1.0,,Not Included,0,1 Year,Yes,634,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Storage Space,Elevator in Building",Professional,www.capreit.ca
3 Beds 1 Bath Apartment - Central Halifax,800.0,"Halifax, NS B3L 1K2",2024-02-11T22:34:03.000Z,18 days ago,Apartment,3,1.0,"Hydro,Water",Not Included,1,1 Year,No,800,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",Yes,"Yard,Balcony",No,Bicycle Parking,Owner,
Apartment wanted ,900.0,"Burke St, Dartmouth, NS B3A",2024-02-12T00:00:07.000Z,18 days ago,Apartment,1,1.0,,Not Included,1,1 Year,Yes,800,No,,Yes,,Outdoors only,,Owner,
19 Twenty Apartments - Bachelor available at 1920 Brunswick Stre,2030.0,"1920 Brunswick Street, Halifax, NS, B3J 0C5",2024-02-12T00:07:39.000Z,18 days ago,Apartment,Bachelor/Studio,1.0,,Not Included,0,1 Year,Yes,507,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Storage Space,Elevator in Building",Professional,www.capreit.ca
Lease transfer available ,2045.0,"1030 South Park St, Halifax, NS B3H 2W3",2024-02-12T00:43:43.000Z,18 days ago,Apartment,1,1.0,,Not Included,1,1 Year,Yes,660,No,,Yes,,Outdoors only,,Owner,
Looking for a male roommate to share a 3 bedroom apartment,750.0,"Halifax, NS B3L 4P7",2024-02-12T03:08:24.000Z,18 days ago,Apartment,3,1.0,"Hydro,Heat",,0,1 Year,No,100,No,Fridge / Freezer,No,,No,Gym,Owner,
"shared unit1 bedroom for rent in a 2 bedroom, 2 bathroom unit in",1100.0,"7 Pinehill Dr, Lower Sackville, NS B4C 0E8",2024-02-03T12:05:07.000Z,26 days ago,Apartment,2,2.0,"Heat,Water",,0,Month-to-month,No,92,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,24 Hour Security,Storage Space",Owner,
