Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name,Description
Beautiful One Bedroom Central Fairview-$1695.00,1695,"15 Borden Street, Halifax, NS, B3N 2V6",2024-03-03T00:54:00.000Z,4 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,,Professional,www.olympusproperties.ca,"To fill out the online application please visit our site's homepage: WWW.OLYMPUSPROPERTIES.CA,For general inquiries please call or text Mitch at 902-402-6408.,Beautiful fully renovated 1 bedroom apartment with balcony located in Fairview at 15 Borden Street. This unit is located in a very clean, quiet, and secure 21-unit building with a mature tenant base. The building coin laundry. This unit will be completely renovated with a new kitchen, countertops and sink, toilet in the bathroom, fridge and stove, dishwasher, and over-the-range microwave. Close to all amenities and bus stops. Minutes away from Clayton Park.,NO PETS ALLOWED. NO SMOKING.,*** "
1 Bedroom basement apartment ,1150,"Halifax, NS, B3K 2Y1",2024-03-03T01:10:16.000Z,4 days ago,Basement,1,1,,Not Included,1,1 Year,No,700,No,"Laundry (In Unit),Fridge / Freezer",Yes,,No,,Owner,,"Looking to have someone take over my lease for April 1 to June .. then with option to renew.
It’s a one bedroom basement apartment located in the north end of Halifax on barrington st.
On bus route # 29 and # 84,Laundry in unit. One bedroom, closet space and parking space.
Looking for a quiet professional to take over the lease . The upstairs neibour is quiet and courteous so looking for someone that will be respectful.
Heat power and utilities are extra.,Credit check and references will be required.
Thank you for your interest "
Private Room Available,1125,"Seymour Street, Halifax, NS",2024-03-03T07:06:48.000Z,4 days ago,Apartment,2,5,"Hydro,Heat,Water",,1,1 Year,No,1,Yes,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,"Gym,24 Hour Security,Elevator in Building",Owner,,"A private bedroom is available starting in April 1st. Its a Fully 5 Bedroom Furnished Apartment. You will share the apartment 4 other undergrad students.,All Amenities included.
Laundry in building.
Central Heating.
Elevator in building,Located in south end, halifax practically on Dal Campus and 10 minute walk to SMU."
"24-019 Great West End flat, utilities included",3000,"Second Street, Halifax, NS, B3L 1G2",2024-03-03T12:13:33.000Z,4 days ago,Apartment,3,2,"Hydro,Heat,Water",,2,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Yard,No,,Professional,www.halifaxqualityhomes.com,
Beautiful 1 bedroom unit in Central Fairview! $1795.00,1795,"2 SYBYL COURT, HALIFAX, NS, B3M 1G8",2024-03-03T12:36:00.000Z,4 days ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,No,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,,Professional,,"Ground Floor accessible unit,To view this unit please contact Mike at 902 443-9529. To apply please visit our site's homepage: WWW.OLYMPUSPROPERTIES.CA,Spacious 1-bedroom apartment at 2 Sybyl Court in Clayton Park. Located in a very clean, quiet, and secure 22-unit building. This is a large unit with a storage room in the unit and has been recently renovated: The rent includes heat, hot and cold water, a fridge, A dishwasher, as well as a microwave, parking for one, and coin laundry. Close to Clayton Park Shopping Center where you will find groceries, banks, restaurants, Tims, pharmacies, post office, and much more. The Lacewood Terminal is close by and there is an express bus stop outside the door.,. "
Room for rent,1100,"Herring Cove Road, Halifax, NS",2024-03-03T14:57:35.000Z,3 days ago,Apartment,2,1,Water,,1,Month-to-month,Yes,600,Yes,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Storage Space,Owner,,"PRIVATE ROOM FOR RENT (SUBLET)
CA $1,100.00 / month,1 bedroom available in a 2 bedroom apartment from April 1st - August 31st, 2024, with possible option to extend. This is a sublet.,Looking for a mature student or young working professional to take over my lease until it expires on August 31st. There may be a possibility to renew the lease beyond this period, but that would be up to you and the landlord.,A bit about the people:
There is one other roommate who will be here until early May, at which point he will also be leaving and looking for an additional person to sublet. He is a mature student at King’s University, quiet, respectful, and very easy to get along with.,We have three female neighbors downstairs- let's make them feel at ease.,A bit about the place:
Located overlooking the Arm, this apartment is set on the top 2 floors of a blue house, in the midst of trees, with a great view of the water. It comes fully furnished with the option to swap for personal items.,- $1,100/month + utilities (heat and electricity)
- internet and water included
- pet friendly
- 25min bus ride to downtown,Send me a message with a little bit about yourself and let me know if you have any questions."
Bright & Modern 1 BED | 1 BATH | Dutch Village Road,1725,"Dutch Village Road, Halifax, NS",2024-03-03T15:21:29.000Z,3 days ago,Apartment,1,1,Water,Not Included,0,1 Year,Limited,700,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,,No,Elevator in Building,Owner,,"MAY 1 2024 | Water Included,Please EMAIL Kanzi@unitedgulf.ca with the following questions answered:,1- How many occupants?
2- Do you have pets? (Cat friendly)
3- Employment information
- Where do you work & for how long?
4- Number of vehicles.
5- Where do you currently reside?
6- Reason for moving?
7- Move in date?,• Qualifications: Full time employment & established credit history.,Bright & Modern 1 Bed | 1 Bath,Welcome to your new home!,This recently renovated 1 BED |1 BATH apartment with lots of light & centrally located in heart of HRM. With fresh paint throughout, brand new flooring, and modern fixtures, this unit is the epitome of comfort and style.,Key Features:
• Includes: Water
• In-unit laundry
• Stainless Steel: Fridge, stove, microwave & dishwasher
• Modern & bright apartment with convenient location in heart of HRM.
• Contemporary Kitchen & Washroom, vanity & fixtures.,Bright and Airy Living:
Enjoy sunlit days in this radiant apartment, perfect for those who appreciate a well-lit living space.,Tenant Responsibilities:
• Power (current tenant pays $40/month for power)
• Tenant's Insurance,Don't hesitate to send an EMAIL to Kanzi@unitedgulf.ca - Your dream home is just a email away!"
BRIGHT & MODERN | 2 BED + DEN | 1 BATH | BEDFORD,2695,"Millview Avenue, Bedford, NS",2024-03-03T16:15:14.000Z,3 days ago,Apartment,2 + Den,1,Water,Not Included,0,1 Year,Limited,850,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,,Owner,,"✨April 1 2024 - 2 BED + DEN | 1 BATH ✨,Please EMAIL Kanzi@unitedgulf.ca with the following questions answered:,1- How many occupants?
2- Do you have pets? (Cat friendly)
3- Employment information
- Where do you work & for how long?
4- Number of vehicles.
5- Where do you currently reside?
6- Reason for moving?
7- Move in date?,• Qualifications to apply are full time job and good established credit history.,Completely gutted brand new renovation - completely redone A-Z. Brand new bathroom, kitchen & flooring. Equipped with modern fixtures - this unit is the epitome of comfort and style.
Renovation will be completed mid March - with occupancy for April 1 2024 (earlier occupancy is possible pending completion),✨ Key Features:
• Includes: Water, premium roller blinds, AC split heat pump & lots of storage.
• 6 brand new appliances: fridge, microwave, stove, dishwasher, washer and dryer.
• Massive deck for entertaining & BBQ
• Bedford basin views!
• Access to backyard,• Modern & bright apartment with convenient location Bedford Hwy (Millview Drive) - 7 mins to Mount Saint Vincent University.,✨ Bright and Airy Living:
Enjoy sunlit days in this radiant apartment, perfect for those who appreciate a well-lit living space.,✨Tenant Responsibilities:
• Power
• Tenant's Insurance,Parking:
• Private Garage Parking : $150 per
• Outdoor Parking : $75,Don't miss the chance to make this bright and stylish space your own! Email Kanzi@unitedgulf.ca"
May 1 Green St New Large Bachelor Apartment All Utilities Inc!,1550,"Green Street, Halifax, NS",2024-03-03T16:38:25.000Z,3 days ago,Apartment,Bachelor/Studio,1,"Hydro,Heat,Water",Not Included,0,1 Year,Limited,575,No,"Laundry (In Building),Fridge / Freezer",Yes,,No,"Gym,Elevator in Building",Owner,,"APARTMENT FOR RENT
New Renovation- Modern Luxury Finishes
Please call or text 902.495.9073 to arrange a viewing!
Video Tour:https://youtu.be/18wgV7ceUa4
Month Available: May 1,2024,Location: 5266 Green Street, Halifax,NS
Size: Large Bachelor Apartment
Price: $1,550.00
Parking: +$150.00 per month per car.
Included: Heat ,Hot Water and Power
Appliances: Fridge, Stove
Laundry: On Site , App Enabled
Air Conditioning: Ductless Heat Pump,5266 Green Street, Halifax,NS - A newly renovated contemporary building located in the heart of Downtown Halifax. Seconds to all Downtown Halifax amenites such as the Halifax Seaport, Nightlife, Restaurants and Supermarkets. Within Walking Distance to Dalhousie University and Saint Marys University.
Pet Policy: (No Exceptions) 1 Cat NO Dogs.,Thank you for your interest in our ad!"
April 1 Allan St Nr Quinpool Large 2 Bedroom + Den Apart Heat HW,1995,"6376 Allan Street, Halifax, NS",2024-03-03T16:40:36.000Z,3 days ago,Apartment,2 + Den,1,"Heat,Water",Not Included,0,1 Year,Limited,"1,100",No,"Laundry (In Building),Fridge / Freezer",No,Balcony,Outdoors only,,Owner,,"APARTMENT FOR RENT
Please call (Between 8:00 AM and 6:00 Pm Only Please) 902.495.9073 to arrange a in person viewing.,Month Available: April 1,2024
Price: $1,995.00 per month
Unit Type: Large 2 Bedroom + Den Apartment
Included: Heat, Hot Water
Appliances: Fridge and Stove
Laundry: Coin Operated On Site
Parking: +$65.00 per month per spot,Location: 6376 Allan Street, Halifax N.S.
Centrally located on Allan Street on the corner of Allan and Harvard Street in West End Halifax. Within seconds to the Quinpool Road business district. Within close walking distance to Supermarkets, Shops, Restaurants, Universities, Downtown Halifax and many other amenities Located directly on all major bus routes. Pet Policy: 1 Cat, No Dogs (regrettably no exceptions),Thank you for your interest in our ad!"
"2 BDRM for rent close to SMU, SOUTH END, HALIFAX",2200,"Victoria Road, Halifax, NS",2024-03-03T16:53:02.000Z,3 days ago,Apartment,2 + Den,1,Water,Not Included,0,1 Year,Limited,"1,000",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,,Owner,,"**PLEASE READ TO THE END BEFORE MESSAGING**,!!!!!! If the listing is up, it is still available !!!!!!!
AVAILABLE ASAP/APRIL 1ST,- This newly renovated ground floor 2 bedroom unit is centrally located off Tower and South Park, in the South End of Halifax close to SMU.
- Close to downtown core, universities, hospitals and bus routes.
- Newly installed air conditioning cooling/heating with additional baseboard heating.
- 2 bedrooms, 1 bathroom, living room and kitchen area, with storage and in suite laundry, plus a patio deck space.
- We are offering a 1 year fixed term lease with Rent@ $2200 plus Power & Internet.
- Security deposit of half a months rent, required before keys are issued.
- Water included.
-Parking spot is available for an additional cost of $80.
-Pet friendly,If interested, please fill out the application form below, once screened and shortlisted, you will be contacted directly to set up a time for a viewing within the next few days.,https://forms.gle/WCQtnubb4JbX7iADA,thank you :)"
"2 BDRM UNIT FOR RENT MAY 1ST, OFF QUINPOOL RD",2400,"Yale Street, Halifax, NS",2024-03-03T17:27:41.000Z,3 days ago,Apartment,2 + Den,1.5,"Heat,Water",Not Included,0,1 Year,Limited,"1,000",No,"Laundry (In Unit),Fridge / Freezer",No,Balcony,Outdoors only,,Owner,,"**PLEASE READ TO THE END BEFORE MESSAGING**
!!!!!! If the listing is up, it is still available !!!!!,AVAILABLE MAY 1ST. PET FRIENDLY.,-This well maintained 2ND FLOOR, 2 bedroom apartment is centrally located off Quinpool Rd on Yale Street, Halifax.
- Close to downtown, hospitals and bus routes, it is a gem that you will want to call home.
-2 bedroom, 1.5 bathroom, living room and open plan kitchen area, with storage in the basement, in suite laundry plus a shared green garden space and private deck.
- We are offering a 1 year fixed term lease with Rent@$2400 plus Power & Internet. Security deposit of half a months rent is required before keys are issued.
-Water and Heating are included. Parking is available in the shared driveway for an additional cost of $50.00
-If interested, please fill out the application form below, once screened and shortlisted, you will be contacted directly to set up a time for a viewing within the next few days.,https://forms.gle/WCQtnubb4JbX7iADA,thank you :)"
Two(2) Bedroom Flat For Rent in Dartmouth,2100,"Dartmouth, NS B2W 1A1",2024-03-03T19:41:23.000Z,3 days ago,Apartment,2,1,Water,Not Included,2,1 Year,Limited,"1,200",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,"Yard,Balcony",Outdoors only,,Owner,,"Now renting Middle Unit at this property. The rent is $2,100 plus utilities, except it includes water. It is a 2 bedroom flat, 1100 square feet, Electric Heat, Hardwood Floors throughout the whole unit, crown molding and custom trim job, Large Kitchen. Unit includes all new appliances, including a stackable washer and dryer. There is a large backyard with deck. Front deck overlooking Halifax Harbour, walking distance to Woodside Ferry and 5 min drive from the Shearwater Air Force Base. There are 2 parking spots available for each flat. There is roxual fire and sound insulation located between each floor with sound rating of STC 52. Each unit has its own H.R.V. Unit. The Unit is available April 15th, 2024 Mature and Professional People/Couples Only! No small children under 8yrs old. Smoke and Drug Free Units. Serious inquires only that can provide rental and employment verification/references. Indoor house cat and small dog allowed! Dogs under 10lbs"
Retiree/Senior 50+ Community | 2 BED + 2 BATH | BRIGHT & MODERN,2295,"Appaloosa Run, Hammonds Plains, NS",2024-03-03T22:58:07.000Z,3 days ago,Apartment,2,2,"Heat,Water",Not Included,0,1 Year,Limited,"1,300",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Storage Space,Elevator in Building",Owner,,"Please EMAIL or CALL:
Kanzi@unitedgulf.ca
902-483-8811,✨ 50+ adult building & community | Welcoming seniors, empty nesters, retirees, and anyone over the age of 50.,2 BED & 2 BATH,Welcome to luxury living in the heart of Hammonds Plains in our exclusive 50+ community at Shiraz 4!,✨ Key Features:
• Primary bedroom with ensuite, walk-in shower, and a generous walk-in closet
• Guest bedroom adjacent to a full bath featuring a relaxing tub
• Open-concept living, dining, and kitchen area with massive windows & double entry balcony for stunning views in every season!
• Modern kitchen with stainless steel appliances (stove, fridge, freezer, microwave, dishwasher) and a convenient countertop bar!
• In-unit laundry room with washer & dryer, storage, and ample counter space,✨ Amenities:
• In-floor heating and split pump for year-round comfort
• Included heat and water
• Accessible building,✨ Parking: $125 underground,✨ Location:
Nestled on Appaloosa Run | Hammonds Plains, surrounded by greenery! Experience tranquility and privacy in this charming 50+ neighborhood.,✨ Availability:
Ready for move-in May 1st 2024 - Flexible move-in date!,Don't miss the chance to call this exquisite unit in a vibrant 50+ community your home!"
Retiree/Senior 50+ Community | 2 BED + Den  &  2 BATH |,2395,"183 Appaloosa Run, Upper Hammonds Plains, NS",2024-03-03T23:05:06.000Z,3 days ago,Apartment,2 + Den,2,"Heat,Water",Not Included,0,1 Year,Limited,"1,400",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Storage Space,Elevator in Building",Owner,,"50+ Community | HEAT & WATER Included!,✨ Modern 2 BED + DEN | 2 BATH ✨,✨ Welcome to luxury living in the heart of Hammonds Plains in our exclusive 50+ community at Shiraz 5!,✨ Key Features:,• Primary bedroom with ensuite, walk-in shower, his & hers sinks, and a generous walk-in closet
• Guest bedroom adjacent to a full bath featuring a relaxing tub
• A very large den that would make a great home office or craft room!
• Open-concept living, dining, and kitchen area with massive windows & double entry balcony for stunning views in every season
• Modern kitchen with stainless steel appliances (stove, fridge, freezer, microwave, dishwasher) and a convenient countertop bar!
• In-unit laundry room with washer & dryer, storage, and ample counter space
• Welcoming entryway with a large closet for coats and additional storage,Amenities:
• In-floor heating and split pump for year-round comfort
• Included heat and water
• Accessible building,Location:
Nestled on Appaloosa Run | Hammonds Plains, surrounded by greenery! Experience tranquility and privacy in this charming 50+ neighborhood.,Availability:
Ready for move-in April 1st 2024 - Flexible move-in date.,Don't miss the chance to call this exquisite unit in a vibrant 50+ community your home!"
Renovated 2 Bedroom Apartment in Lower Sackville,1845,"Kipling Drive, Lower Sackville, NS",2024-03-01T16:41:24.000Z,5 days ago,Apartment,1,2,Water,Not Included,2,1 Year,Limited,"1,100",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Yard,No,,Owner,,"Great family neighborhood Bright lower level completely renovated apartment located in Sackville. Bathroom with white subway tiles. New laminate and tile flooring throughout. Kitchen with island. Open concept dining and living area. Stack washer and dryer. Separate driveway enough for two vehicles. Tenants will be responsible for utilities (electricity), snow removal, lawn mowing.,Looking for quiet, reliable, long term tenants.,Please reply with details (timing, # people, pets, cars, jobs etc)."
Beautiful 2 Bedroom Downtown Halifax- Steps From QE2 and Dal!,2595,"5620 South Street, Halifax, NS, B3J 0A7",2024-03-01T19:06:00.000Z,5 days ago,Apartment,2,1,Water,Not Included,0,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,24 Hour Security,Bicycle Parking,Elevator in Building",Professional,www.olympusproperties.ca,"Welcome to The James!,Available March 1st,To view please contact Karlo at 902-802-1704, To apply please fill out the online application on our site's homepage: WWW.OLYMPUSPROPERTIES.CA,The James is a luxury apartment complex conveniently located at 5620 South Street, When you walk into the lobby of this property you are greeted with a beautiful entranceway, you can feel safe living downtown with the secured building with 24-hour camera surveillance, no need for a car when you can walk to plenty of wonderful restaurants, cafe's, fresh groceries and all the wonderful shops on Spring Garden Road. Students and professionals alike will love the convenience of the downtown location while having the luxury of an onsite fitness center, fantastic views of the downtown core, underground heated parking/ outdoor parking, and onsite professional resident managers, This fantastic 2 Bedroom unit features, amazing views of the city. What better place to sip your morning latte than your private balcony overlooking to City.,Each unit comes with Stainless steel appliances dishwasher, a fridge, a stove, and water all included. This property is Pet/smoke-free.,Pictures are of a similar unit."
TWO BEDROOM PLUS DEN APARTMENT IN THE HEART OF DARTMOUTH,2600,"10 Horizon Court, Dartmouth, NS, B3A 0A4",2024-03-01T20:01:12.000Z,5 days ago,Apartment,2 + Den,2,,Not Included,0,1 Year,No,"1,494",No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.horizoncourt.ca,
19 Twenty Apartments - 1 Bdrm available at 1920 Brunswick Street,2200,"1920 Brunswick Street, Halifax, NS, B3J 0C5",2024-03-01T21:06:00.000Z,5 days ago,Apartment,1,1,,Not Included,0,1 Year,Yes,700,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Bicycle Parking,Storage Space,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/19-twenty-apartments/,Located close to downtown and the stunning Halifax waterfront, 19 Twenty Apartments is a newly built luxury building with quality amenities and superior finishes. The building offer spacious open-concept bachelor, one, and two bedroom luxury apartments for rent. Residents of 19 Twenty Apartments will have access to an array of amenities:, , ,Have Questions? Contact the Property Manager: 902-444-1654"
Open House - Beautiful 2 Bedroom + Den **Farview**,2200,"Adelaide Avenue, Halifax, NS",2024-03-01T21:13:15.000Z,5 days ago,Apartment,2 + Den,2,Water,Not Included,1,1 Year,No,"1,000",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,,Owner,,"OPEN HOUSE this Sunday, 12pm - 3pm
38 Adelaide Avenue, Halifax,This unit is located in middle Fairview. It is on the top level of a 3 unit building. It has large windows and gets plenty of sunlight throughout the day. The balcony off the kitchen is nice for those evening coffees in the summer. Laminate and Tile flooring; granite countertops in the kitchen and island. Space for dining room table as well! The bedrooms are a good size, with the Master having an ensuite as well as a large walk in closet. Appliances include fridge, stove, range hood, washer and dryer. There is a heat pump for your heating and Air conditoning needs.,There are many amenities within walking distance: Tim Hortons/Esso On The Run (7 minutes), Giant Tiger (11 minutes) Shoppers Drug Mart (13 minutes) Atlantic Superstore (15 minutes).,Driving distance is Bayers Lake (5 minutes), Highway 102 Access (3 minutes), Mackay Bridge (5 minutes), Armdale Roundabout (5 minutes).,Major bus routes are close and within walking distance (within 10 minutes). Routes include: 2, 3, 4, 28, 135, 136, 137, 138,No smoking, No pets please.,Overall a nice place to live.,Please email for viewings.,Thanks"
"Spring Garden - 1 Bdrm available at 5770 Spring Garden Road, Hal",2080,"5770 Spring Garden Road, Halifax, NS, B3H 4J8",2024-03-01T21:30:00.000Z,5 days ago,Apartment,1,1,Water,Not Included,0,1 Year,Yes,743,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Pool,Bicycle Parking,Storage Space,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/spring-garden/,Located close to downtown and the stunning waterfront, 5770 Spring Garden is a highly desirable rental apartment building with quality amenities and superior finishes located in Halifax, Nova Scotia.,As a resident of Spring Gardens you will have access to an array of amenities which include a fitness centre, fenced dog park, large social room, car wash station on P1 level, outdoor patio and garden area, and storage lockers., , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: 902-422-5254"
Park Victoria Apartments - 1 Bdrm available at 1333 South Park S,2110,"1333 South Park Street, Halifax, NS, B3J 2K9",2024-03-01T21:36:00.000Z,5 days ago,Apartment,1,1,Water,Not Included,0,1 Year,Yes,614,No,Laundry (In Building),No,Balcony,No,"Bicycle Parking,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/park-victoria-apartments/,Our large 3 bedroom apartments provide plenty of options for a home office space or room for those working from home.,With 1, 2 and 3 bedroom apartments for rent in Halifax, it’s easy to imagine life at Park Victoria Apartments. Convenience extends to your guests with non-resident parking available. Inquire about our military, senior and capital Health incentives when you rent at Park Victoria., , , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-7676"
"Modern, Urban 2-Bedroom + Den for Rent in South Bedford!",2795,"81 Dellridge Lane, Bedford, NS, B4A 0K2",2024-03-01T22:52:48.000Z,5 days ago,Apartment,2 + Den,2,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,24 Hour Security,Elevator in Building",Professional,www.realstar.ca,"Realstar's The Cliffs at Dellridge are upscale, urban 2-bedroom plus den apartments and penthouse suites located in the highly desirable neighbourhood of South Bedford. Take in the beauty of Bedford Basin strolling on the waterfront trail at DeWolf Park or shop to your hearts content at nearby Hemlock Square featuring many national retailers and restaurants. Located only 30 minutes away from Halifax, Dartmouth and Stanfield International Airport makes The Cliffs at Dellridge the ideal mature living environment,Live well with 24-hour on-site management. Realstar strives to provide you with a superior living experience and exceptional resident care. We organize social events that foster a sense of community. Realstar buildings are impeccably clean, well maintained and environmentally efficient.,: 902-818-6233,*Prices, incentives, availability and specifications are subject to change. Images may not reflect actual suite finishes. Pet restrictions may apply. E. & O.E."
23-098  Lovely large flat in Halifax near the Halifax Commons,2200,"John Street, Halifax, NS, B3K 4K6",2024-03-02T00:07:27.000Z,5 days ago,Apartment,2,1,Water,Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,"Yard,Balcony",No,,Professional,www.halifaxqualityhomes.com,
252 Victoria Road - 1 Bedroom Apartment - April 1 - $1599,1599,"252 Victoria Road, Dartmouth, NS, B3A 1X1",2024-03-02T00:10:46.000Z,5 days ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Yes,500,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,,Professional,,"Units available April 1 and May 1! Located at 252 Victoria Road in Dartmouth. Rent is $1599 per month which includes heat and hot water. You pay for your own electricity (lights and appliances).,Parking is $50 per month. Laundry is coin-op in the building.,Spacious 1 bedroom apartment, open concept kitchen and living room, bathroom with full tub. Corner unit with lots of windows for natural light. Full building recently renovated with all new finishes. Building address is 252 Victoria Road in Dartmouth.,Please respond to this ad with information about yourself to schedule a viewing!,Application Link: https://apartment-management.managebuilding.com/Resident/rental-application/new"
Park Victoria Apartments - 2 Bdrm available at 1333 South Park S,2635,"1333 South Park Street, Halifax, NS, B3J 2K9",2024-03-02T00:11:09.000Z,5 days ago,Apartment,2,1,Water,Not Included,0,1 Year,Yes,830,No,Laundry (In Building),No,Balcony,No,"Bicycle Parking,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/park-victoria-apartments/,Our large 3 bedroom apartments provide plenty of options for a home office space or room for those working from home.,With 1, 2 and 3 bedroom apartments for rent in Halifax, it’s easy to imagine life at Park Victoria Apartments. Convenience extends to your guests with non-resident parking available. Inquire about our military, senior and capital Health incentives when you rent at Park Victoria., , , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-7676"
Somerset Place Apartments - Bachelor available at 1030 South Par,1880,"1030 South Park Street, Halifax, NS, B3J 2K9",2024-03-02T00:11:09.000Z,5 days ago,Apartment,Bachelor/Studio,1,Water,Not Included,0,1 Year,Yes,500,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.capreit.ca,"Visit our Website: https://www.capreit.ca/apartments-for-rent/halifax-ns/somerset-place-apartments/,Somerset Place Apartments, featuring Bachelor, Junior 1, 1, and 2 bedroom apartments for rent in Halifax, is a perfect location in the South end of Halifax that is only steps away from St. Mary’s University, Dalhousie University, the Victoria General (VG) Hospital, grocery shopping, fine dining and the downtown business district., ,Residents can entertain in our social room that features a kitchenette and washroom, or spend some time exercising in the building’s fitness centre., ,These quiet Halifax apartments offers its tenants the pleasure of pizza, receiving a hair-cut, or enjoying a cup of Coffee at Uncommon Grounds all without having to leave the property. With amenities like this combined with our close proximity to schools, shopping, and downtown Halifax visit Somerset Place today to find your next Halifax apartment rental., , , ,What's included in your rent,Water,Have Questions? Contact the Property Manager: (902) 404-7575"
,,,,,,,,,,,,,,,,,,,,Private seller,,
QUIET 2 BEDROOM + DEN - TONS OF STORAGE!  3 Appliances!,1695,"25 Montgomery Court, Halifax, NS, B3M 4L9",2024-03-02T00:30:01.000Z,5 days ago,Apartment,2 + Den,1,"Heat,Water",Not Included,1,1 Year,Limited,"1,000",No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,Yes,,Professional,,"Thank you for considering us for your new home. We are in a perfect location in Clayton Park and well within 5-10 minutes to Bayers Lake, Canada Games Centre, universities, schools and walking trails. Currently we have a 2 bedroom with TONS of storage available for March 15th, 2024.,Some of the many features of this property are:,Large Kitchens,3 Appliances Fridge, Stove and Dishwasher,24 Hour On-site Staff,Security Building,Laundry Facilities,Locally Owned,Quiet Building,Cats only. Sorry no dogs. - No exceptions.,1 Assigned Parking Spot Per Unit,LOTS of storage space!,The following unit is available March 15th, 2024:,Two Bedroom + Den - 3 Appliances. $1,695/mth with Heat, Hot Water and parking Included!,***UNIT WILL BE COMPLETELY RENOVATED WITH VINYL FLOORING - NO CARPET*** PLEASE SEE VIDEO FOR EXACT UNIT. PICTURES USED AS REFERENCE***,Looking forward to hearing from you"
Modern One-Bedroom Plus Den Apartment in the Heart of Dartmouth,2000,"10 Horizon Court, Dartmouth, NS, B3A 0A4",2024-03-02T00:36:00.000Z,5 days ago,Apartment,1 + Den,1.5,,Not Included,0,1 Year,No,"1,062",No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.horizoncourt.ca,
