title,address,price,bedrooms,bathrooms,pets,description,available_date,extraction_date
PORTERS LAKE- SPACIOUS 1 BEDROOM LAKEFRONT RENTAL ALL UTILITIES INCLUDED!,"146 Deermist Drive, Porters Lake, NS, Canada",,1,1,No,"Beautiful Large 1 Bedroom Lower Level Lakefront Apartment in a beautiful home on Deermist, Porters Lake! Features Include: Large Open Living Area Bright Kitchen 1 Bedroom 1 Bathroom In Suite Laundry Located on popular Porters Lake with stunning views and lakefront access. Professionally Managed by www.happyplacepm.com Rent is $1650.00 including heat, power and water. Sorry, no pets.  ",October 1st,2024-03-17
OCT 1st -146 Cow Bay Road – 3 BR 2 BATH EASTERN PASSAGE FAMILY RENTAL AVAILABLE NOW!,"146 Cow Bay Road, Eastern Passage, NS, Canada",,3,1.5,Limited,"Welcome to 146 Cow Bay Road, Eastern Passage! This charming semi-detached rental is located in one of the most sought-after areas in the HRM. The home is located 10 minutes from the amenities of Russell Lake and just steps away from the shops at Fisherman’s Cove. Space offers 3 beds and 1.5 bathrooms, in suite laundry, parking, and a spacious backyard. Please email rent@happyplacepm.com for an application and viewing appointment.  ",October 1st,2024-03-17
DECEMBER 1 – TREMONT DR HALIFAX – CHARACTER 3 BED HOME BACKYARD!,"22 Tremont Drive, Halifax, NS, Canada",,3,1,Yes,"Welcome to Beautiful 22 Tremont Dr, Halifax! Available December 1st, can be flexible with earlier move in date for the right tenants! Your chance to live in a beautiful Halifax character home. You will love the hardwood floors, mouldings, and custom staircase. New windows have been installed and that combined with the cedar shakes on the exterior make the home nicely insulated for heating. Features: 3 Bedrooms with hardwood floors 1 Bathroom Freshly Painted Brightly Kitchen with Stainless Appliances New Dishwasher Lovely Living Room Side by Side Stainless Full Size Fridge and Full Size Stainless Freezer Bonus Room in the basement could be an office. Dreamy Front patio space perfect to enjoy a cup of coffee or a meal outdoors. Lots of back yard space with beautiful mature trees. Across the street from École Rockingham School Centrally Located to amenities in both Bedford and Halifax. Professionally managed by www.happyplacepm.com Rent is $2,750.00 per month + Nova Scotia Power + Oil + Halifax Water Email rent@happyplacepm.com to set up a viewing and to receive a rental application.",November 15,2024-03-17
54B CHANDLER DRIVE – 2 BR LOWER LEVEL LR SACKVILLE RENTAL,"54 Chandler Drive, Lower Sackville, NS, Canada",,2,1,Limited,Welcome to Chandler Drive! This 2 bedroom unit is ready for tenants. This property is located off the Cobequid Road in the Caudle Park area and is less than 5 minutes away from the Sackville Lakes Provincial park! Rent is 1795 + utilities. We are pet friendly on a case by case basis. Professionally managed by Happy Place Property Management www.happyplacepm.com Please email rent@happyplacepm.com for an application and viewing appointment.,Immediatly,2024-03-17
RENTED – 2319 Ostrea Lake – STUNNING LOG CABIN HOME AVAILABLE NOV 1 3 BR 1.5 BATH WATERFRONT,"2319 Ostrea Lake Road, Musquodoboit Harbour, NS, Canada",,3,1.5,Limited,"Welcome to 2319 Ostrea Lake Road! This stunning log cabin is rental ready for November 1st. This beautiful home boasts 3 bedrooms, 1.5 bathrooms, and a deck overlooking gorgeous waterfront views. Rent is $2950 + Power. Water is on a well. NS Power average is $174/month Professionally managed by Happy Place Property Management www.happyplacepm.com. Please email rent@happyplacepm.com for an application & viewing time today!",Unavailable,2024-03-17
25 Peaceful Place – Beautiful Executive 3 Bedroom + Den/ 2.5 Bathroom Semi Detached Home with Double Attached Garage,"25 Peaceful Place, Porters Lake, NS, Canada",,3,2.5,,"Available for Rent December 1st! $3000/month + utilities Welcome to 25 Peaceful Place! This stunning rental is located in gorgeous Seven Lakes Community in beautiful Porters Lake, Nova Scotia. Enjoy the amenities of a dog park, walking trails, lake access and lovely community. So many features to mention: Stunning kitchen with stainless appliances. Propane fireplace Large Primary Bedroom with gorgeous ensuite bathroom and walk in closet. Enjoy lakefront views from the back deck and screened in porch.",December 1st,2024-03-17
RENTED: 168 Starboard Drive – IMMACULATE 6 BEDROOM BEDFORD HOME AVAILABLE NOW!,"168 Starboard Drive, Halifax, NS, Canada",,5,3,Limited,"Welcome to Starboard Drive! This stunning, executive rental is ready for tenants now! This home boasts 5 spacious bedrooms upstairs and one downstairs. It comes with a large 2 car garage, spacious basement rec room, deck for entertaining and beautiful stainless steel appliances. Please email rent@happyplacepm.com for a viewing and application today!",Immediately,2024-03-17
"5436 Cornwallis St, Halifax, 2 BR 1.5 BTH Brickyard Condo Townhouse! AVAILABLE SOON","5436 Cornwallis St, Halifax, NS B3K 5N8, Canada",,2,1.5,Yes,"HALIFAX – BEAUTIFUL EXECUTIVE 2 BEDROOM 1.5 BATH BRICKYARD CONDO TOWNHOUSE! Please note Cornwallis Street is going to be renamed Nora Bernard Street as of October 2023. Features: 2 Bedrooms 1.5 Bathrooms Beautiful Kitchen Living room with 9ft ceilings Master bedroom with walk-in closet. Located walking distance to the Halifax Commons, downtown and the Hydrostone area and near all the trendy Halifax shops and restaurants, bars and performance venues. Bus Routes Professionally Managed by www.happyplacepm.com Rent is $2750 + NS Power (Water is Included)","July 1st, 2023",2024-03-17
378 East Chezzetcook Road – 2 BR EASTERN SHORE HOME February 1st,"378 East Chezzetcook Road, Head of Chezzetcook, NS, Canada","$1,950",2,1,Limited,Welcome to East Chezzetcook! New Listing 2 Bedroom home in East Chezzetcook. $1950 + utilities per month Available Feb 1st 5 new appliances country setting beautiful bathroom minutes to 107 highway professionally managed bedroom with a pull down Murphy bed The home boasts a large backyard & lots of parking & new appliances. We are pet friendly on a case by case basis. Rent is $1950 + utilities Please email amanda@happyplacepm.com for an application & viewing time!,Vacant,2024-03-17
45 Strath Lane – BEAUTIFULLY MAINTAINED 3 BR 1 BATH DARTMOUTH RENTAL AVAILABLE APRIL 1ST,"45 Strath Lane, Dartmouth, NS, Canada",,3,1,Limited,"Welcome to 45 Strath Lane! This beautifully maintained and spacious rental is ready to welcome tenants April 1st! Strath Lane is an incredibly accessible area, the property is within walking distance to NSCC Akerley Campus, 15-20 minutes drive from Downtown Halifax, 10 minutes drive from Downtown Dartmouth, 5 minutes drive from Shubie Park. We are right beside the elementary school and steps away from the Beazley Fields. We are on a major bus route and steps away from groceries and other amenities including restaurants and drugstores. The space boasts 3 spacious bedrooms, a large rec room perfect for a home gym or office, in suite laundry, a fully fenced in backyard and newly updated kitchen. The home comes with 1 parking space which is plowed by the homeowner’s association in the winter along with the common areas. We are pet friendly on a case by case basis so please inquire today! Email amanda@happyplacepm.com for an application and viewing time.",April 15th,2024-03-17
92 FREDERICK AVENUE – SUNNY SPACIOUS 2 BR HALIFAX APT W/ PARKING AND LAUNDRY JUNE 1,"92 Frederick Avenue, Halifax, NS, Canada",,2,1,Yes,"92 FREDERICK AVENUE, HALIFAX $2000/MONTH + NSP Welcome to Frederick Avenue! This spacious and sunny 2 bedroom apartment is ready for tenants for June 1st! Space comes with in suite laundry, parking and 4 stainless steel kitchen appliances and a large deck! We are considering pets on a case by case basis. Please email amanda@happyplacepm.com for more details!","July 1, 2023",2024-03-17
"18 Stephen Street, Dartmouth: Stunning Views of Halifax Harbour!","18 Stephen Street, Dartmouth, NS, Canada",,2,2,,"Stunning Views of Downtown Halifax and the Halifax Harbour from this newly renovated 2 Bedroom 2 Bathroom upper unit on 18 Stephen Street, Dartmouth. Available May 1st $2600 (Water included, NS Power is extra) This property comes equipped with a 4 camera security system completely accessible by the tenants and is included in the rental price. Cameras may be monitored remotely. Features Include: Beautiful Kitchen with Stainless appliances Deck and bedroom windows boast stunning views of the Halifax Harbour and downtown Halifax In Suite Laundry two full bathrooms Newly renovated Heat pumps for efficiency of heating and cooling Conveniently located close to Dartmouth General, NSCC, Woodside Ferry, close to amenities and walkable to downtown Dartmouth. Email rent@happyplacepm.com to set up a viewing!","May 1st, 2023",2024-03-17
2317 Clifton Street – 4 BR 1 BATH SUNNY NORTH END FLAT AVAILABLE JULY 1ST W/ PARKING & LAUNDRY,"2317 Clifton Street, Halifax, NS, Canada",,4,1,Yes,"2317 CLIFTON STREET, HALIFAX NS 4 BR 1 BATH, 1 PARKING SPOT IN CARPORT & IN SUITE LAUNDRY INCLUDED IN BASEMENT Welcome to Clifton Street! This sunny, charming North End flat will be ready for renters for July 1st This flat is steps away from North End favorites: Eliot & Vine, Tonys, Bar Kismet, The Nook and is practically overlooking the Halifax Commons. This home is a 10 minute walk from the downtown core. Rent is $2100/month + Utilities (Oil Heat, NSP and HFX Water) We are considering pets on a case by case basis. Email amanda@happyplacepm.com for more info!","July 1st, 2023",2024-03-17
RENTED: 5 Clarke Street – Charming 2 BR 1 Bath Dartmouth Bungalow Available May 1st!,"5 Clarke St, Dartmouth, NS B3A 2B8, Canada",,2,1,Limited,"Welcome to 5 Clarke Street! This charming bungalow is located on a quiet street close to major bus routes and overlooks the Brightwood Golf Club. The location couldn’t be more convenient as this home is located within a half hour’s walk to both Downtown Dartmouth and Mic Mac Mall and less than a 10 minute drive! All utilities to be paid for by tenants: oil heating, Nova Scotia Power and Halifax Water. We will consider pets on a case by case basis. We are rental ready for May 1st. Please email amanda@happyplacepm.com for an application and to set up a viewing!  ",Vacant,2024-03-17
3223 Veith Street – Charming 1 BR 1 Bath Ground Level Unit Avail July 1st!,"3223 Veith St, Halifax, NS B3K 3H1, Canada",,1,1,,"This apartment is located in North End Halifax, just a 10 minute walk from the downtown core and nestled on a quiet street. This unit comes with 1 parking space and there is shared, coin operated laundry on the same floor. Water is included, NSP and wifi will be responsibility of the tenant. Rent is $1300 Please inquire today!  ",1-2,2024-03-17
35 Dingle Road – 4BR/2BA – Beautiful Home – Sept 1st,"35 Dingle Road, Halifax, NS, Canada",,4,2,Yes,"September 1st – Dingle Road, Halifax – 4BR/2BA – Beautiful 4 Bedroom Home! Looking for new individuals to Rent this Beautiful Halifax Character home! Features include: 2 Bedrooms on Main Level & 2 Bedrooms Upstairs Newly Renovated upstairs Bathroom 5 Appliances Attached Garage Great Neighbourhood Quick commute to hospitals & universities Private Backyard with mature trees and shrubs & beautiful gardens Professionally Managed by www.happyplacepm.com Oil Heat Rent is $3,300 a month + Utilities View our video today: https://www.youtube.com/watch?v=5hbHRlInLHY Please email maryann@happyplacepm.com for an application and to set up a viewing!","Sept 1st, 2023",2024-03-17
105 Dunbrack Street – 1 BED 1 BATH CONDO W/ PARKING AVAILABLE AUGUST 1ST!,"105 Dunbrack Street, Halifax, NS, Canada",,1,1,Limited,"Welcome to Parkhill Terrace! This 1 bed 1 bath condo is located in a well maintained Podium Properties condo building in Clayton Park. We are only 10 minutes away from Downtown Halifax and just over 15 minutes from Downtown Dartmouth. It is close to major amenities such as the Canada Games Centre, Bayers Lake, parks and trails. There is a bus stop right outside the building. The unit boasts stainless steel appliances and comes fully furnished. Water and 1 outdoor parking space are included. The building itself is clean and secure, there is a community room downstairs as well as a gym and woodworking room. Email amanda@happyplacepm.com for an application & viewing time!  ",August 1st,2024-03-17
5659 Livingstone Street – STUNNING EXECUTIVE HYDROSTONE HOME AVAILABLE JULY 1ST,"5659 Livingstone Street, Halifax, NS, Canada",,3,2,No,"Welcome to North End Halifax! This stunning home is in prime Halifax location! We are steps away from major amenities like Superstore, Dollarama, The Italian Market, NSLC, Tim Hortons, Halifax Seed, the boutiques in the Hydrostone Market and more! Enjoy the fine dining and nightlife that the coveted North End has to offer. We are located steps away from major bus routes. The house is a 9 minute drive from Downtown Halifax, 10 minutes from downtown Dartmouth and 22 minutes from the airport. Enjoy keyless entry with a keypad system on the front door! The home is also outfitted with power saving LED lights in each fixture and wifi light fixtures on the first floor. This property comes with an in house speaker system which one just needs to plug in their phone or whatever music device they want to use. It also hooks up to speakers for patio. Receiver for in house system will stay with house. Off of the kitchen there’s a covered deck and patio that’s perfect for outdoor entertaining. The yard is fully fenced in and comes with a greenhouse (alternatively used as a yoga studio) and shed. There’s raised garden beds as well for the avid gardener.  This space also comes with a fire pit with wood and a security motion detector for side of house The master bedroom has a balcony overlooking the backyard, perfect to enjoy your morning coffee out on! The upstairs level has 2 other spacious bedrooms, and a full bath with gorgeous shower and a soaker tub. There’s a large rec room in the basement currently being used as a gym, and a wine fridge! This space is fully finished with in floor heating, its wired for complete surround sound system and is ready for hook up. The washer and dryer are brand new, there is a utility room that doubles as storage and a full bathroom with stand up shower. There is a heatpump located on each level for heating and cooling. This home won’t last long, email amanda@happyplacepm.com for an application and viewing appointment! Video tours available upon request.",July 1st,2024-03-17
2319 Princess Place – FULLY FURNISHED HALIFAX TOWNHOUSE AVAILABLE MAY 1ST,"2319 Princess Place, Halifax, NS, Canada",,3,2,Limited,"Welcome to 2319 Princess Place Location, location, location! This space can’t be beat. You are steps away from the Halifax Commons, about a 15 minute walk from Halifax’ Downtown Core, a 10 minute drive from Downtown Dartmouth and 25 minutes from the airport. Halifax’s North End favourites like Bar Kismet, Chicken Chop, Cafe Lara, Chain Yard and Hali Deli are all within a 15 minutes’ walk from the townhouse. The space boasts 3 bedrooms, 2 bathrooms, a large rec room in the basement and parking. The space comes fully furnished making moving easy! Rent is $3000 + Lights & hot water We are ready for tenants for May 1st! Please email amanda@happyplacepm.com for a viewing today.  ",May 1,2024-03-17
40 Pleasant Street – 2ND FLOOR NEWLY RENOVATED 2 BR 1 BATH HEAT & HOT WATER INCL,"40 Pleasant Street, Dartmouth, NS, Canada",,2,-1,Limited,"Welcome to 40 Pleasant Street! This newly renovated 2nd floor unit will be ready for tenants for March 1st! We are conveniently located around the corner from all the amenities Downtown Dartmouth has to offer. This unit is steps away from the Bridge Terminal, Battery Park, Tim Hortons, Dear Friend, The Canteen and more! The rooms are spacious, full of natural light, with brand new floors. This building has the all the charm of older character homes and comes stress free with oil & hot water covered for you. The rent is $2500 + Electricity. Please email amanda@happyplacepm.com for an application & viewing appointment. Text 902 220 5666 on Whatsapp for a virtual tour.",March 1,2024-03-17
21 Grant Street – BEAUTIFUL 3 BR 2 BATH MAIN FLOOR UNIT AVAILABLE NOW!,"21 Grant Street, Dartmouth, NS, Canada",,2,1,Limited,"Rent is $1950 + Water and NS Power Beautiful newly renovated 3 Bedroom 2 Bedroom Main Floor Unit Availabe Now! Features Include: Renovated Kitchen Gorgeous views of Halifax 3 bedrooms 2 full bathrooms In suite Laundry Large spacious lot with shared shed (clothesline) Parking Conveniently located close to Dartmouth General, NSCC campus, Woodside Ferry, buses, schools & amenities. Please email amanda@happyplacepm.com for an application & viewing time today!",Available Now,2024-03-17
428 Spring Ave – 3 BR 1 BATH DARTMOUTH DUPLEX AVAILABLE JUNE 1ST,"428 Spring Avenue, Dartmouth, NS, Canada",,3,1,Limiited,"Spring Ave, Dartmouth – Available June 1st Features include: 3 Bedroom 1 Bathroom Freshly painted hardwood floors 4 appliances backyard Shed Professionally managed by www.happyplacepm.com Rent is $1975.00 + Utilities Heat is oil heat Please send an email to amanda@happyplacepm.com",June 1st,2024-03-17
45 Frances Street – SUNNY CHARMING DARTMOUTH BUNGALOW AVAILABLE MAY 1ST,"45 Frances Street, Dartmouth, NS, Canada",,2,1,,"Welcome to Frances Street! Location, location location! This home is central to all major amenities, steps away from the Bridge Terminal and major grocery stores, a 5 minute drive from Downtown Dartmouth, 12 minutes from Downtown Halifax and 20 minutes from the airport. This home has been beautifully maintained with a newly updated kitchen, a spacious backyard with a deck, in suite laundry and parking. Available May 1st on a 12 month fixed term. Rent is $2100 + utilities. Please email amanda@happyplacepm.com for an application & viewing!",May 1,2024-03-17
"1086 Bedford Hwy – COMING SOON! Charming, Sunny 2 Bed 1 Bath Bedford Home Available May!","1086 Bedford Highway, Bedford, NS, Canada",,2,1,Limited,"Welcome to 1086 Bedford Hwy! Location, location, location! This charming home is steps away from all the amazing amenities Bedford has to offer. We are within walking distance to major grocery stores, drug stores, several boutiques and restaurants, walking trails and more. We’re about 25 minutes away from Downtown Halifax, just under 20 minutes from Downtown Dartmouth and about 15 minutes from the airport! We are also along several major bus routes. This home has been newly renovated with sleek, stainless steel appliances and big windows allowing for a ton of natural light to pour in, especially the sunroom upon first entering the home. The space boasts 2 bedrooms, 1 bathroom and will be ready for tenants for May 1st. Rent is $2000 + Oil + Power + Water Please email amanda@happyplacepm.com for an application & viewing time today!",May 1,2024-03-17
2881 Prospect Road – 2 BR 1 BATH MAIN LEVEL UNIT UTILITIES INCLUDED AVAILABLE JUNE 1ST,"2881 Prospect Road, Whites Lake, NS, Canada",,2,1,Small dogs,"Welcome to Prospect Road! This home is located about 30 minutes from Downtown Halifax. This charming upper floor unit is ready to welcome tenants for June 1st! Moving is SO easy with fuel, water & power covered! Tenants only need to pay for wifi, making things stress free. The space boasts 2 bedrooms, 1 bathroom with a large jet tub and stand up shower. This unit is ideal for senior folks who are looking to keep everything on one level! We are small dog friendly, sorry – no cats or big dogs.",June 1st,2024-03-17
5429 Roome Street – STUNNING EXECUTIVE RENTAL AVAILABLE NOW,"5429 Roome Street, Halifax, NS, Canada",,2,2,,"Welcome to Roome Street! This location can’t be beat! This home is located less than a 10 minutes’ drive from Downtown Halifax and from Downtown Dartmouth! We are steps away from major amenities such as Lawtons, NSLC, Superstore, etc. The space is beautifully furnished with thoughtful touches throughout with all new appliances, it makes moving incredibly easy. The space comes with in suite laundry, tons of parking, a cozy deck for entertaining and a huge yard. Rent is $2800+ Power & Water Wifi is included. Email amanda@happyplacepm.com for an application and viewing time!",Immediately,2024-03-17
67 GOUROK AVE – CHARMING 3 BR 2.5 BATH DARTMOUTH FAMILY HOME AVAILABLE MAY 1ST,"67 Gourok Avenue, Dartmouth, NS, Canada",,3,2.5,Limited,67 Gourok Ave Dartmouth MAY 1ST $2650/MONTH+ UTILITIES Welcome to Gourok Avenue! This spacious Dartmouth home is in the most charming neighborhood with amazing views of the lake! The front porch is a prime location for watching fireworks and sipping your morning coffee while overlooking the lake. The home boasts a large garage and a ton of storage throughout the space. There are 3 bedrooms and 2.5 bathrooms. Comes with a newly renovated kitchen. The backyard comes with a deck and beautiful pear tree. Please email amanda@happyplacepm.com for an application and viewing. For a video tour please add 902 220 5666 to Whatsapp and request Gourok Avenue video tour.,MAY 1ST,2024-03-17
10A Booth Street – CHARMING 3 BR 1 BATH DUPLEX AVAILABLE MID DECEMBER/JAN 1ST,"10A Booth Street, Dartmouth, NS, Canada",,3,1,,"Welcome to 10A Booth Street! This charming duplex will be ready for tenants on a 12 month term for January 1st, can arrange for mid December if necessary. The property boasts all new electric throughout including 2 new heat pumps. In suite, front load washer/dryer available as well as driveway parking. Rent is 1900 + utilities. Please email amanda@happyplacepm.com for an application & viewing time.",January 1,2024-03-17
234 Windmill Road – 3 BED 1.5 BATH DARTMOUTH FAMILY HOME AVAILABLE NOW,"234 Windmill Road, Dartmouth, NS, Canada",,3,1.5,Limited,"Welcome to Windmill Road! This charming 3 bedroom, 1.5 bathroom home is available for rent now. This space has been newly renovated and features stainless steel appliances. There’s a spacious deck and shed on site for tenant use. Professionally managed by www.happyplacepm.com Please email amanda@happyplacepm.com for an application & viewing time today!",N/A,2024-03-17
9 Lindsay Court – GORGEOUS SUNNY 2BR + DEN LR SACKVILLE  RENTAL AVAIL NOW!,"9 Lindsay Court, Lower Sackville, NS, Canada",,2,1,Limited,"Upper 2 bedroom + Bonus space Unit in Duplex. Featuring: Bright kitchen Living Room powder Room Deck Upstairs two bedrooms Full bathroom Bonus room (office, gym or playroom) Close to shopping and amenities and bus route. Available now Rent is $2300/month including utilities",Immediately,2024-03-17
15 Dipper Crescent – 3 BR 1 BATH ROCKINGHAM DUPLEX AVAILABLE NOW!,"15 Dipper Crescent, Halifax, NS, Canada",,3,1,Limited,"Welcome to 15 Dipper Crescent! This charming rental is located in the coveted community of Rockingham. We are just over 15 minutes from Downtown Halifax, just under 20 minutes from Downtown Dartmouth. We are minutes away from all the amenities that Lacewood and Bayers Lake has to offer. There is a major bus stop less than a 2 minutes’ walk from the house. Upon entering the home there is a large living space with a heat pump for efficiency. There are 4 stainless steel appliances in the kitchen, and a large deck off the dining room that overlooks the fully fenced in backyard. There’s also a shed for additional storage on site. There is a large rec room in the basement with laundry on this level as well. Upstairs there are 3 spacious bedrooms and a 5 piece bathroom. There is another heat pump in the master bedroom for your comfort! We are ready for tenants now! Email amanda@happyplacepm.com for an application & viewing time  ",April 1st,2024-03-17
40 Pleasant Street – TOP FLOOR NEWLY RENOVATED 2 BR 1 BATH HEAT & HOT WATER INCL,"40 Pleasant Street, Dartmouth, NS, Canada",,2,1,Limited,"Welcome to 40 Pleasant Street! This charming, sunny top floor unit will be ready for tenants for March 1st. There will be minor maintenance touch ups before the 1st and we will add photos as the work completes. The space boasts a charming sunroom/porch area upon reaching the top of the stairs. From here you enter the kitchen with a lovely view of the hustle and bustle of Portland Street. There are 2 bedrooms and a spacious living area. This building has the all the charm of older character homes and comes stress free with oil & hot water covered for you. The rent is $2250 + Electricity. Please email amanda@happyplacepm.com for an application & viewing appointment. Text 902 220 5666 on Whatsapp for a virtual tour.",Immediately,2024-03-17
"Westridge Rd, Hatchet Lake –  3 BR/2BA – Incredible Solar Efficient Home!","51 Westridge Rd, Hatchet Lake, NS B3T 2C8, Canada",,3,2,Yes,"APRIL 1ST –  HATCHET LAKE- INCREDIBLE 3 BEDROOM 2 BATHROOM SOLAR EFFICIENT HOME! Features Include: Main Level is a stunning open concept with cathedral ceilings Beautiful White Kitchen with Granite countertops 3 Bedrooms upstairs Master bedroom has ensuite bathroom Basement has rec room with pool table (**pool table can remain in home if desired**) and full bathroom with laundry and access to the attached garage Home is 1350 SQ FT Home is very efficient R2000 built and has a heat pump and solar panels. Solar energy is estimated to save $75/month in the house on NS Power Bill (NS Power bill currently averages $250 per month without the solar savings factored in). 3 Acre private lot Large backyard with pond and sand play area that doubles as skating rink in winter! Shed Home is on well and septic Professionally Managed by www.happyplacepm.com Rent is $2,600 a month + NS Power 12 month lease required Please respond to ad to arrange a viewing!","April 1st, 2023",2024-03-17
284 Crown Drive – 3 LEVEL 2 BR + DEN 1.5 BATH HALIFAX TOWNHOUSE AVAILABLE DECEMBER 1,"284 Crown Drive, Halifax, NS, Canada",,2,1.5,Limited,"Welcome to Crown Drive! This townhouse is conveniently located steps away from amenities, trails and parks. We are 10 minutes from Downtown Halifax, 15 minutes from Downtown Dartmouth and 30 minutes from the airport. There are 3 spacious levels. The kitchen/dining and half bath is on the top floor, bedrooms and full bath on the second floor, and large rec room area on the bottom level with a walk out to the outside patio area. There is in suite laundry and parking available. Rent is $2200/month + Nova Scotia Power. Please email amanda@happyplacepm.com for an application & viewing today!",December 1,2024-03-17
6 Roleika Drive – 3 BED + DEN 1.5 BATH DARTMOUTH RENTAL AVAILABLE NOW!,"6 Roleika Drive, Dartmouth, NS, Canada",,4,1,Limited,"Welcome to Roleika Drive! This home is central to everything! Directly across the street is Caledonia Jr High, the East Dartmouth Community Centre, Beazley Fields, and the Dartmouth Daycare Centre. The NSCC Akerley Campus is just down the road, easily walkable. This space has been newly updated and freshly painted! We’re ready to welcome new tenants for Feb 15 or March 1st. There are 3 spacious bedrooms, a large den, 1.5 bathrooms, a large living room and big rec room in the basement. We are pet friendly on a case by case basis. Email amanda@happyplacepm.com for an application & viewing time",Mid February - March,2024-03-17
RENTED: 288 Crown Drive – 3 LEVEL TOWNHOUSE AVAILABLE APRIL 1ST,"288 Crown Drive, Halifax, NS, Canada",,2,1.5,Limited,"Welcome to Crown Drive! This townhouse is conveniently located steps away from amenities, trails and parks. We are 10 minutes from Downtown Halifax, 15 minutes from Downtown Dartmouth and 30 minutes from the airport. There are 3 spacious levels. The kitchen/dining and half bath is on the top floor, bedrooms and full bath on the second floor, and large rec room area on the bottom level with a walk out to the outside patio area. We’ve repainted the entire unit with new updates throughout. There is in suite laundry and parking available. Rent is $2200/month + Nova Scotia Power. Please email amanda@happyplacepm.com for an application & viewing today!",April 1st,2024-03-17
257 Salmon River Drive – CHARMING WESTPHAL BUNGALOW AVAILABLE NOW!,"257 Salmon River Drive, East Preston, NS, Canada",,2,1,Limited,"Welcome to Westphal! This charming bungalow is located about a 25 minute from Downtown Halifax, a 15 minute drive from Downtown Dartmouth and only 10 minutes from Lawrencetown Beach! The home has been thoughtfully updated with modern touches and a ton of natural light. We are move in ready. Pet friendly on a case by case basis. Rent is 2200 + utilities. Please email amanda@happyplacepm.com for an application & viewing time!","September 15, 2022",2024-03-17
68 MELROSE AVENUE – 3 BEDROOM UNIT AVAILABLE NOW! TOP FLOOR,"68 Melrose Avenue, Halifax, NS, Canada",,3,1,Limited,"68 MELROSE AVENUE, FAIRVIEW 3 Bedroom Unit Available now! 3 BR – 2000 + Utilities Pets are accepted on a case by case basis Please email amanda@happyplacepm.com for more details.",October 1,2024-03-17
128 Pinecrest – 3 BR 1 BATH NEWLY RENOVATED UNIT READY NOVEMBER 1 (Two Units),"128 Pinecrest Drive, Dartmouth, NS, Canada",,3,1,Limited,"Welcome to Pinecrest! This charming 3 BR 1 Bath rental will be ready for tenants for November 1st. The unit is undergoing renovations and will have more photos added as the maintenance progresses Comes with shared laundry (but free!) and 2 parking spaces Email amanda@happyplacepm.com for more details   We have another unit on the other side, 3 bedrooms 1 bath available December 1st.",November 1st,2024-03-17
40 Colonna Place – 3 BED 1.5 BATH DARTMOUTH FAMILY HOME AVAILABLE NOW,"40 Colonna Place, Dartmouth, NS, Canada",,3,1.5,Limited,"40 Colonna Place, Dartmouth Welcome to Colonna Place! This charming 3 bed 1.5 bathroom Dartmouth family home is available for tenants now. Colonna Place is less than a 10 minute drive to Downtown Dartmouth and 22 minutes from Downtown Halifax. It is available now. Please email amanda@happyplacepm.com Rent is 2300+ utilities",December 15,2024-03-17
"7 Jamieson Street – CHARMING 2 BR DARTMOUTH CONDO W/ POWER, WATER INCLUDED AVAIL MID FEB","7 Jamieson Street, Dartmouth, NS, Canada",,2,1,Limited,"Welcome to 7 Jamieson Street! Power, Heating, Water & Parking are included in this rental price. This condo is nestled just over the Macdonald Bridge! Enj0y the incredible view of the MacDonald Bridge right outside your balcony. This location can’t be beat, we are located a 5 minutes’ drive from Downtown Dartmouth, a 15 minute walk from the Bridge Terminal, a 10 minute drive from Downtown Halifax and only 20 minutes’ from the airport. The building has been meticulously maintained and there are card-operated laundry facilities on every floor. The kitchen has been newly updated and the bedrooms are spacious. Rent is $2000 + wifi. We are accepting pets on a case by case basis. Please email amanda@happyplacepm.com for a viewing & application.  ",Mid February - March,2024-03-17
"11 Chambers Court, Halifax – IMMACULATE 4 BED 4 BATH SPACIOUS HOME AVAILABLE NOW!","11 Chambers Court, Halifax, NS, Canada",,4,4,Limited,"Welcome to Chambers Court! This stunning home is only two years old and is located on a quiet cul de sac. Enjoy the nature views from your deck, no backyard neighbours makes for a serene environment to enjoy your morning coffee. The main level boasts a sleek and modern open concept kitchen/living space with 4 stainless steel appliances and gorgeous backsplash.  There is a heatpump for efficiency and large windows throughout. There is also a 2 piece bathroom on this level. There is a large rec room in the basement, a powder room, and a walkout to the backyard. There is also a large bedroom and additional storage on this level. The second story boasts the master bedroom and en suite, another full bath, the remaining 2 bedrooms and an additional 4 pc bathroom. Laundry is located on this level. This home is located in a family friendly community with a playground right across the street. This property is a short 7 minute walk from major bus routes, we are a 20 minute drive from Downtown Halifax, 26 minutes from Downtown Dartmouth and 32 minutes from the airport. We will consider pets on a case by case basis. Please email amanda@happyplacepm.com for an application & viewing time. Virtual tour available upon request!      ",Immediately,2024-03-17
